label	parent	mass (kg)	epoch	sma (m)	ecc	inc(°)	lan(°)	aop(°)	ma(°)
ulla	sol		9493.5	530102702707.7614	0.09431890	18.80725 2	45.99449 1	30.09956 1	18.3777568
anneliese	sol		9493.5	437495053397.9376	0.15651145	9.21432 2	49.79379	07.54769	16.1546004 1
agamemnon	sol		9493.5	790833704955.2938	0.06694707	21.75454	38.01981 1	82.41585 3	02.2773005
maritima	sol		9493.5	468284299799.4651	0.17963567	18.30891	33.41678 1	91.51982	64.3211939
otila	sol		9493.5	328843496208.9381	0.17029898	5.80500 1	94.90085 2	88.94840	14.1510953 1
palisana	sol		9493.5	367524449163.9284	0.21633665	25.21298	55.74234 2	49.33314 2	20.5290801
cosette	sol		9493.5	333239250122.01276	0.13974525	5.54593	9.22153	39.61942	87.4737470 1
america	sol		9493.5	353843649089.4781	0.23696050	11.09774	29.70382	41.79985 3	87.1558863 1
lyka	sol		9493.5	356261719151.89874	0.20019364	5.12425 3	43.36668 3	59.73694 3	58.5497995 1
itha	sol		9493.5	428785794481.0992	0.18822504	12.06657	30.41751 3	15.24011 3	20.2903654 1
ilsebill	sol		9493.5	414955650852.32904	0.08565331	8.15974 1	29.76137	56.70083 2	81.1592221 1
rogeria	sol		9493.5	392167167852.00494	0.10533143	11.59529 2	92.59592 2	70.59666 1	64.8249575 1
jovita	sol		9493.5	473722077680.9006	0.18633363	16.36016	04.79836 3	69.94230 2	21.9466760
schlutia	sol		9493.5	402253714525.23	0.19254346	7.30108 1	05.09809	26.61724 2	41.2994334 1
herluga	sol		9493.5	391246587435.07837	0.19461820	14.46465 2	97.43863	01.67538 1	13.8921406 1
toni	sol		9493.5	439601376457.60657	0.15299833	8.98746 2	50.16296	20.57993 1	26.3852548
alphonsina	sol		9493.5	403807288412.4495	0.08164972	21.10327 2	99.50993 2	01.34141 2	86.5413685
imhilde	sol		9493.5	446031796050.28485	0.18251195	16.32287 1	48.94336 1	73.23931	20.7424608 1
ratisbona	sol		9493.5	481324521791.578	0.09375173	14.63797 1	7.36833	73.12233	67.5155009
hildrun	sol		9493.5	469651025946.18024	0.14352355	17.65305	29.57980	21.41534 1	4.6261893
algunde	sol		9493.5	334823371894.4292	0.11419086	3.91667	31.29168 1	22.78088 2	18.0367294 1
westphalia	sol		9493.5	363739099442.67096	0.14368413	15.34351 3	40.80680 1	30.73584 3	91.5180526 1
whittemora	sol		9493.5	473701328456.2345	0.23396267	11.48867 3	10.96185 3	15.66092 1	29.7156858
hooveria	sol		9493.5	361919301184.7538	0.09125474	8.10963	14.90847 1	49.28244	35.9297229 1
susi	sol		9493.5	354243539157.64624	0.16549432	5.54318	41.35641	12.76201 1	28.8032378 1
thuringia	sol		9493.5	411243978082.39136	0.21565899	14.08161	25.34521 3	64.58038 3	45.7775270 1
clivia	sol		9493.5	331963763716.63745	0.14592634	4.02028	46.34973 2	58.37302 3	52.5422549 1
kunigunde	sol		9493.5	468984043839.66425	0.17434976	2.36519 2	62.14735	53.53352	4.0849160 1
bethgea	sol		9493.5	333749648137.26697	0.21832982	3.69618	43.50850 2	72.63268 2	21.0004509 1
chlosinde	sol		9493.5	471396518941.72076	0.19408850	2.66895 2	19.03533 2	25.12338 1	59.2422478 1
isberga	sol		9493.5	336282280249.0697	0.17637507	2.58317	27.01255 1	6.37214 3	03.6628880 1
kordula	sol		9493.5	503697930539.8579	0.16914540	6.24114 2	66.27373 3	84.03875	59.6332552
murray	sol		9493.5	416530811712.2906	0.19573240	6.62703 3	52.26908 2	34.54697	24.4016464 1
romilda	sol		9493.5	473529754658.3286	0.16499507	10.53818 3	71.15766 2	19.85533	47.8993228 1
begonia	sol		9493.5	465780719594.1523	0.21471852	12.11357	13.75053 3	3.91831 1	09.2474534
hidalgo	sol		9493.5	856942335438.673	0.66222305	42.53593	21.36317 1	56.59815	85.3374947 1
barcelona	sol		9493.5	394690509936.0372	0.16073281	32.84291 1	18.21220 1	62.71501 3	77.3668884
poesia	sol		9493.5	466505700795.1386	0.14284968	1.42929	69.65232	36.41884	29.7742066 1
monterosa	sol		9493.5	411884451446.21924	0.24840164	6.69359 3	48.21954	39.38397	73.3187577 1
jucunda	sol		9493.5	453613221660.12897	0.16335415	8.65201 1	57.05349 2	62.56704 3	92.1564100 1
hel	sol		9493.5	448142397609.05585	0.20025284	10.64163 2	20.59685	51.53117 3	15.4742929
ahrensa	sol		9493.5	354627751368.9651	0.15979103	23.50498 3	81.71583 2	48.52843 1	50.2345030 1
gaspra	sol		9493.5	330646150550.8731	0.17342029	4.10575 1	52.98786	30.03697 2	52.9368202 1
caia	sol		9493.5	447581076478.6153	0.24459705	9.98950 3	18.36406	56.92266	48.5538519
painleva	sol		9493.5	417015822968.88696	0.18860788	8.65836 2	36.37205 1	59.77494	07.2605875 1
li	sol		9493.5	468026063955.0627	0.17366614	1.17267 1	63.22028 2	50.21011 1	81.1679786 1
alstede	sol		9493.5	388174415642.809	0.28883461	10.68784 2	51.41823	82.34434 3	15.7974505 1
elisa	sol		9493.5	343762278502.5792	0.20506972	5.96440 1	92.61713 3	25.20167 1	42.2828861 1
camelia	sol		9493.5	436859456924.6946	0.08209462	14.76021 2	32.62244 2	26.61607 2	32.1785893
asplinda	sol		9493.5	598693909855.4071	0.18505687	5.62177	42.59654	90.87834 3	42.2322007 1
arne	sol		9493.5	475067231814.6608	0.22395882	4.49404 3	58.44853	33.45994	75.2719574 1
birgit	sol		9493.5	336350466958.5348	0.16538708	3.02749	49.08985 3	87.89961 2	48.5576553 1
gunnie	sol		9493.5	402705948888.35614	0.09375286	10.98961 2	26.57128 2	84.82124	68.3885642 1
aslog	sol		9493.5	434653770959.3067	0.09642304	2.60521 2	45.42946	25.09315 1	22.9906467 1
iduberga	sol		9493.5	336248261693.2725	0.13729093	7.98437	62.41051 2	5.49967	91.6402602 1
subamara	sol		9493.5	456341123872.5564	0.11795688	9.05375	30.60689 1	8.16318	80.7027856 1
angelica	sol		9493.5	473369759735.615	0.27660160	21.42332	41.06819 1	47.21319	53.0609708 1
muschi	sol		9493.5	407187212944.3229	0.12836183	14.39581 1	72.35327 2	79.36935	41.9526823
helionape	sol		9493.5	332889041506.70404	0.16909366	5.41126 2	82.31993 2	32.16055	07.8286219 1
petunia	sol		9493.5	429197024067.86646	0.13133631	11.60330 2	08.73990	98.02711 2	61.0516972 1
leocadia	sol		9493.5	368405071989.59106	0.20517854	2.29067	87.68667 3	91.34162 2	49.6240184 1
primula	sol		9493.5	382729501942.9411	0.27254051	5.03448	10.71594 1	95.50029 3	39.1314592 1
alsatia	sol		9493.5	394831550808.53314	0.16355114	13.79483	83.47155	6.03294	55.9957588 1
cohnia	sol		9493.5	457287270565.58563	0.23489151	8.36913	81.42128 2	93.24988 2	02.1390891
aralia	sol		9493.5	480505817524.5981	0.11371179	15.82906	48.28237	86.57339 3	47.6849321 1
lioba	sol		9493.5	379007970673.3242	0.10959449	5.45319 3	86.62875	02.54405	16.2497993 1
perseverantia	sol		9493.5	424028612112.4133	0.03514342	2.55399	38.64705 3	57.79831	46.6235116 1
benjamina	sol		9493.5	477556540383.10876	0.11032429	7.72673 3	42.99552	21.75765 2	26.9074228
philippa	sol		9493.5	466619604613.8896	0.02097654	15.17645	75.64778 3	65.94641	59.8947394
aidamina	sol		9493.5	479693112132.2333	0.23015831	21.60073 1	16.51404 3	32.69833 2	09.8448685
ilsewa	sol		9493.5	472963586556.87744	0.14107264	10.08906 1	30.45296 1	16.64235 2	13.5223807
anacostia	sol		9493.5	410098013513.46814	0.20157838	15.89626	85.76193 3	69.76015 2	36.6984429
martina	sol		9493.5	463650834869.8481	0.20077856	2.06192 2	46.00080 3	97.88960	11.1589869 1
franklina	sol		9493.5	459126247270.5266	0.23284766	13.64784 3	99.13519	50.73648 2	42.3074776 1
gunila	sol		9493.5	473118091237.7364	0.08906411	14.86291 3	50.66622 2	48.38622 2	00.3579115
gretia	sol		9493.5	419647743187.4733	0.19481380	9.09361	14.12728 3	55.30893 3	35.1247313
rosina	sol		9493.5	343930486348.39435	0.27765209	4.05914	90.23551 2	59.59877 2	20.7761582 1
amelia	sol		9493.5	468491537729.7458	0.20294654	14.81662 2	92.50179 2	64.92580	07.1477724
wallia	sol		9493.5	468933016005.9685	0.23797101	8.91028	22.53517 2	15.71180 3	05.5938695
appella	sol		9493.5	469571065884.2911	0.23721997	1.57330 3	41.68940 1	36.55365	55.8721372 1
schwassmannia	sol		9493.5	398168465952.58026	0.24933604	14.68938 1	43.29747 2	65.68305 2	69.0997056 1
yerkes	sol		9493.5	399235383006.6256	0.21724474	8.78304	53.92722 2	9.28544 3	66.0336624 1
mcdonalda	sol		9493.5	469065140845.3707	0.16248147	2.06930 2	63.18027 2	53.51705	34.7670263 1
swasey	sol		9493.5	452490728997.1186	0.09048772	10.89055 3	11.86112	48.81105 2	45.8745245 1
moultona	sol		9493.5	427912008278.12756	0.04702300	1.78200 2	84.20604 1	44.69273 1	27.2566094 1
otthild	sol		9493.5	378400648197.64343	0.11518029	15.41572 3	2.29780	42.13275	24.5476386 1
sternberga	sol		9493.5	391258929259.4111	0.16739998	13.05208 1	21.65939	22.15208 2	18.7483757 1
hilaritas	sol		9493.5	462647317393.4054	0.13877692	0.65756 1	47.12591 3	45.65158 3	52.7702458 1
priska	sol		9493.5	399898445648.9292	0.18171004	10.49028	47.02418 1	52.20876 2	64.0434549 1
bodea	sol		9493.5	465945486688.9412	0.21442130	15.51370	01.07989 1	71.63108 3	59.8108281 1
zachia	sol		9493.5	390898727506.3396	0.21585204	9.75483 1	14.89054	28.01134 2	65.8802136 1
piazzia	sol		9493.5	474474749447.7534	0.25831259	20.58263 2	23.70506	80.33593 3	47.6591209 1
gaussia	sol		9493.5	480508734683.0768	0.12195965	9.31593 1	59.09405 2	46.30715 2	70.6129043
olbersia	sol		9493.5	417038068172.2601	0.15327887	10.76993 3	43.69194 3	54.85059 3	40.9124951 1
lilofee	sol		9493.5	469941724528.5245	0.16096554	1.84166 3	39.37843	16.15231 1	24.0238111 1
belopolskya	sol		9493.5	509430296548.2758	0.09455247	2.98713 2	53.12196 1	14.76151 1	05.6377744
arago	sol		9493.5	473335636461.3083	0.12003490	19.06296	49.11249	61.09052 3	10.9849582 1
lagrangea	sol		9493.5	469337498728.7672	0.35930156	10.93066	94.52142	86.16556 2	94.3392363 1
pawlowia	sol		9493.5	405105109779.9203	0.10878779	2.54135	07.03790 3	77.13775 3	29.0152536 1
la paz	sol		9493.5	463019202740.1785	0.07238083	8.92831	20.19798 2	16.19725	53.0842918 1
sirene	sol		9493.5	393165075408.2964	0.45291963	15.71589 1	29.26955 3	86.64624 2	45.3919346 1
marlene	sol		9493.5	438126087136.1244	0.10675707	3.91046 2	98.68029 1	78.61798	36.3323751 1
laodamia	sol		9493.5	358299735823.806	0.34870998	5.48909 3	32.44673 1	53.24972 1	66.7913782 1
sarema	sol		9493.5	370891642917.00525	0.13661327	4.02850	73.14340	25.33342	32.1374512 1
tombecka	sol		9493.5	401493936859.51886	0.20814671	11.89084	27.19983	99.22838	48.5799513 1
semphyra	sol		9493.5	418672768984.7602	0.20450465	2.26541 2	51.45455 2	34.64691 2	41.5114696 1
christa	sol		9493.5	479228999698.1736	0.08902799	9.44849 2	20.11658 3	87.36994 1	52.1127528
anitra	sol		9493.5	331996002057.7733	0.12750905	6.03538	8.80031 3	53.35952	50.2939362 1
jacqueline	sol		9493.5	389831750613.146	0.07648011	7.92809	18.73964	70.47202 1	39.1443647 1
arnolda	sol		9493.5	379952292272.33093	0.24536702	7.63267 3	59.54575 2	43.11183 3	14.0722702 1
strackea	sol		9493.5	285964213650.8359	0.07142487	26.97858 1	44.36015	21.99118 1	69.4474710 1
arcadia	sol		9493.5	417811563962.7145	0.04086921	4.05752	80.54970 2	35.79087 1	52.4586060 1
flammario	sol		9493.5	409869039012.5747	0.28384744	15.85880 2	15.38572 2	86.76626 1	60.2560162
olympiada	sol		9493.5	420523444243.1899	0.17041019	21.07248 1	11.87229 2	24.99425 1	37.4462966 1
thomana	sol		9493.5	474578525490.6581	0.09568407	10.05938 1	93.89534 2	96.20238 1	68.8046834 1
hale	sol		9493.5	429145532480.7715	0.22105751	16.06807 3	58.78113	08.26457	21.0908452 1
riema	sol		9493.5	296066647617.9293	0.03926831	26.86714 3	63.32726	49.22904 1	84.2006019 1
ingrid	sol		9493.5	337258555953.25793	0.18114311	5.39902 2	04.54960	12.35526 1	86.1477005 1
aesculapia	sol		9493.5	472761838868.4514	0.12576131	1.24738 1	29.18738 3	30.66323	26.3209145 1
lydina	sol		9493.5	510119568737.5261	0.10218485	9.39582	62.68538	20.84434	69.0486911
la plata	sol		9493.5	432793895431.8289	0.02677861	2.42125 1	29.80712 2	35.46986	96.6594540 1
vitja	sol		9493.5	466541574364.5325	0.12318903	14.78039	87.78688 1	4.91613 1	81.1933392 1
arctica	sol		9493.5	455898418893.7939	0.06043863	17.63475 3	18.61254 1	10.52128 2	12.2879356
pafuri	sol		9493.5	468085259832.49866	0.14079640	9.48026 1	76.28671	88.66101	96.3750020 1
simona	sol		9493.5	448718394290.61206	0.11929645	10.65912 2	88.85212 1	16.23190 1	18.6533003 1
mozartia	sol		9493.5	343025075155.5567	0.26281839	3.96992	04.45425	18.87370 3	74.8307970 1
amata	sol		9493.5	471595229793.3716	0.18910371	18.00089 3	1.83233	25.31596	84.5418097 1
ganymed	sol		9493.5	398673657961.93414	0.53321328	26.68074 1	15.44119	32.50312 2	97.5938498
davidweilla	sol		9493.5	337354508027.5249	0.19058741	5.90154 1	00.63761 3	69.69304 2	25.3697696 1
tuckia	sol		9493.5	594830589723.9408	0.22142278	9.18710 3	57.68759 3	05.40039	52.5526001 1
sonneberga	sol		9493.5	400860494595.61383	0.06109621	4.55312 3	21.64406 2	25.47204 2	37.2993266 1
klumpkea	sol		9493.5	466580380052.1921	0.18773779	16.65318 1	79.94837 1	57.68283 2	46.4339592 1
asta	sol		9493.5	459618020350.87866	0.14643959	13.93443 3	59.97043	44.50029	32.2632282 1
amazone	sol		9493.5	483942634126.6987	0.08685648	20.70931 2	52.37363	99.08488	6.0844875
beate	sol		9493.5	462531498721.9095	0.03728510	8.92360 1	59.15894	58.44787 1	74.7270675
teutonia	sol		9493.5	385554418374.51746	0.14273033	4.24730 2	59.92316 1	28.32920	42.7425735 1
michela	sol		9493.5	352858696708.7893	0.15831380	0.26388 1	67.14630 3	67.51431 2	01.6894446 1
edwin	sol		9493.5	446631279597.54095	0.05979673	7.90643	10.47009 2	49.94907	27.0783288 1
geisha	sol		9493.5	335337450017.3027	0.19249770	5.66480 3	78.18228	00.41493	58.3394481 1
feodosia	sol		9493.5	408369903790.5029	0.18302621	15.83163 1	52.62448 3	85.30831	28.4428999
gotho	sol		9493.5	462351876558.56	0.13894265	15.11318	42.67988 1	40.40962 3	19.5243173 1
meta	sol		9493.5	392624832617.8374	0.17813496	12.49242	42.26107 1	65.93959 3	62.5403639 1
merope	sol		9493.5	481027929053.1282	0.10262138	23.49330 1	80.45922 1	54.32679 1	43.1434064 1
belgica	sol		9493.5	334496066713.1247	0.14304598	4.69610 2	99.53693 3	97.82797	43.5135724 1
vigdis	sol		9493.5	391291032962.4633	0.09505279	8.33898	17.54599 2	41.48715	13.8604047 1
forsytia	sol		9493.5	437105754859.015	0.13455738	10.87205 2	85.74296	96.23109	34.5567427 1
tynka	sol		9493.5	328862091224.2661	0.20845083	5.27801 1	47.08088 3	76.51839 1	16.6354291 1
azalea	sol		9493.5	333562202005.2799	0.17798819	5.42743 2	04.09954	12.29255 1	34.3647036 1
wanda	sol		9493.5	432608124795.9937	0.24886532	3.54193 1	57.82173 1	14.73132 2	04.1304590 1
grubba	sol		9493.5	328501171401.41534	0.18829820	3.69323	21.69647 2	94.44542 2	77.3646146 1
mussorgskia	sol		9493.5	395446787011.574	0.18641303	10.08863	00.28310 1	88.14474 2	39.4581272 1
magnolia	sol		9493.5	334738490062.59406	0.20264618	5.92125	21.09273 3	84.59969 2	55.8182234 1
paeonia	sol		9493.5	467207299848.9345	0.21798719	2.49968 3	90.90233	06.67948	28.9975034 1
ljuba	sol		9493.5	449974956565.3438	0.07243978	5.59671	41.23318	99.41018 3	30.5688922
aquilegia	sol		9493.5	346156727061.2164	0.03888634	5.97683 1	95.27597	07.79223	3.0705075 1
aethusa	sol		9493.5	380796203780.52374	0.17665790	9.50758	80.50721 1	21.10223 2	73.8882258 1
amundsenia	sol		9493.5	353413779608.02167	0.29710701	8.36828 3	30.22060 1	53.90900 3	33.5574190 1
lobelia	sol		9493.5	359335820756.7001	0.20875294	4.81681	44.96714 2	17.13367 3	20.3238455 1
lunaria	sol		9493.5	429059992418.30524	0.19367340	10.55913 1	89.51235 1	14.60182 2	11.5685655 1
nofretete	sol		9493.5	434826466741.24274	0.09752640	5.48969 2	18.58601 1	65.57511 3	28.6972774 1
planckia	sol		9493.5	467680492873.74567	0.10972419	13.56398	42.34532 2	30.64607 1	52.2868664
tunica	sol		9493.5	483227720862.41046	0.07975483	16.96574 1	65.26054	91.66034 1	46.5726189 1
brita	sol		9493.5	418789275806.46136	0.11144308	5.36129	52.46333 3	29.48628	28.4902073 1
malva	sol		9493.5	474427715877.2054	0.23708146	8.01987	36.92781 1	25.44514	60.4117671 1
gellivara	sol		9493.5	476273589043.98566	0.18656686	1.59787 2	39.52577	89.85405	47.1687795 1
beljawskya	sol		9493.5	471409863071.78723	0.18214342	0.79885	38.03290	22.49986	40.6354759 1
helina	sol		9493.5	450934761543.9679	0.10867850	11.53213 2	00.69833	51.07197 1	0.9835268 1
viola	sol		9493.5	369994983199.6036	0.14638074	3.32096 3	43.55884 1	04.06878 1	10.6520093 1
campanula	sol		9493.5	357931261308.48486	0.19719484	5.38891	46.09030 2	13.73514 3	97.3469588 1
mentha	sol		9493.5	339483240848.22473	0.13836873	7.36521	93.75540 2	44.33872	85.9073616 1
mimosa	sol		9493.5	429878547087.41437	0.04562401	1.17049 1	28.98798 1	02.47404 3	44.3583519 1
orchis	sol		9493.5	362012710095.2189	0.25724831	4.58698	1.93776 3	57.12345	43.9264502 1
reseda	sol		9493.5	462809750761.4115	0.14858653	4.18891	30.27829 3	9.70787	47.6190956 1
pirola	sol		9493.5	467513795966.4247	0.17873822	1.85451 1	47.92390 3	86.39782 1	07.5542866 1
salvia	sol		9493.5	348488643709.9009	0.18164457	5.13176	80.72439 2	32.52979	03.5937123 1
tamariwa	sol		9493.5	402125209954.2987	0.13152754	3.89721 1	86.78563	09.18260 1	74.0106432 1
amaryllis	sol		9493.5	477791528718.40436	0.03911663	6.65103 1	39.71292 1	35.22993 1	92.6525570
nata	sol		9493.5	473274196615.8118	0.05021735	8.36445 1	12.85561	53.58103 3	47.2659160
arabis	sol		9493.5	451321352361.4308	0.08869138	10.06204	30.12934 2	26.30271	17.2588763
mitaka	sol		9493.5	329346937923.2048	0.19533835	7.65235 3	54.45201	19.67309	25.8904410 1
tama	sol		9493.5	331228684659.3789	0.12712675	3.72678 3	71.44718 2	54.51491	60.1512584 1
sumida	sol		9493.5	352859010864.31775	0.22121867	21.54307 3	47.92410	37.98668 1	7.2138571 1
spiraea	sol		9493.5	511363863986.8604	0.07098979	1.15208	80.83355 2	13.20065	16.8975972 1
lilium	sol		9493.5	433840781330.98755	0.08414374	5.39207 3	07.41617	14.28539 3	81.5528550 1
freda	sol		9493.5	468866968546.05444	0.26977965	25.19115 2	55.58946 3	51.09696	49.8052522
siberia	sol		9493.5	380914430977.73804	0.13080076	14.02460 3	49.07439 2	10.75324 1	28.5401573 1
tulipa	sol		9493.5	452523969643.98816	0.01634888	10.01173 3	78.33650	53.58198 1	12.5613554 1
reunerta	sol		9493.5	389112454131.2463	0.19299075	9.46714 2	81.30616	47.75484	50.2502265 1
vicia	sol		9493.5	394915340575.9122	0.29489486	1.53491 1	33.79905 2	76.55358 1	42.0378561 1
hakone	sol		9493.5	402186485242.1374	0.11618368	13.39196	28.87140 3	81.73722 3	23.3861940 1
figneria	sol		9493.5	475608387152.131	0.27982344	11.83443 3	22.12851	48.36342	61.8029563 1
arnica	sol		9493.5	433525773094.6546	0.07006573	1.03074	03.80199 2	21.37832 3	89.6233845 1
clematis	sol		9493.5	483298181459.51013	0.07799057	21.43741 1	01.81188 3	04.56485 2	03.6410442 1
pepita	sol		9493.5	459410932018.4687	0.11065383	15.81927 1	16.52557	18.53001 2	95.6802532
sequoia	sol		9493.5	289296969974.0776	0.09435330	17.90139	67.60292	77.92998 2	86.6404666 1
syringa	sol		9493.5	393764693593.6361	0.34249259	6.43977 2	28.60960 2	77.36524 1	78.8334673 1
fragaria	sol		9493.5	450481225679.3667	0.10482645	10.95870 2	16.83320 2	23.06346 1	81.0281298 1
cydonia	sol		9493.5	388567125013.18353	0.12389028	13.04690 2	28.00248	31.58193 3	9.6220511 1
lictoria	sol		9493.5	476867013877.47833	0.11880008	7.07324 3	10.55322	49.71502 1	79.4601583
demeter	sol		9493.5	363453995820.6909	0.25672875	24.88247	34.17018 1	78.36281 2	48.8220377 1
tata	sol		9493.5	484278212070.2529	0.09688606	4.13016	67.84595 2	5.02650 2	06.8343951 1
jaroslawa	sol		9493.5	331969837390.1879	0.24157023	5.85109	41.66431 1	78.80743 2	60.6719029 1
reinmuthia	sol		9493.5	447389591204.1193	0.10319399	3.89246 2	32.30179 1	34.19936 1	82.3032478 1
polonia	sol		9493.5	451307993271.57733	0.10936125	9.00166	02.67440 1	85.74447 3	34.5321246 1
katja	sol		9493.5	466361787643.5252	0.13432884	13.25211 1	24.36964 1	19.74105 3	59.1770588
lorraine	sol		9493.5	462821359556.1778	0.07170977	10.72083 2	95.29269 3	08.56778 1	16.5892987 1
sabauda	sol		9493.5	463324098160.4522	0.17488805	15.28683	71.62321 2	56.66657	40.9773893
catriona	sol		9493.5	438062223805.12256	0.22409589	16.54581	56.18292 2	83.48434 3	18.1592868
reginita	sol		9493.5	336197338578.0863	0.19835234	4.34418 1	47.08037	50.90517 1	43.3325369 1
hanskya	sol		9493.5	480235045378.6311	0.04240589	13.95586 3	18.68544	37.23866 3	97.9637476
euboea	sol		9493.5	391171728660.5801	0.15374496	7.84294 2	57.31508 1	30.61406	70.5732576 1
cannonia	sol		9493.5	331476418733.2581	0.15578466	4.05190 2	58.57842 1	19.72202 1	50.2178486 1
natascha	sol		9493.5	381137182207.21027	0.15670731	6.16427	57.84139 2	50.14286 3	92.8822054 1
neith	sol		9493.5	390019645538.74524	0.25498649	4.73087 3	63.31154	29.10602	12.9344899 1
shapleya	sol		9493.5	332908818345.2106	0.15680131	6.41785 3	79.84096	17.57634	77.9194510 1
stroobantia	sol		9493.5	437937414301.5976	0.03252595	7.77236 2	22.00925 2	73.79016	10.2807028 1
china	sol		9493.5	467954630971.8034	0.21735565	3.04131	97.13705	9.75298	30.6549155 1
otero	sol		9493.5	339880243677.4884	0.14694545	6.50034 1	0.94257	36.00202	74.7105747 1
mimi	sol		9493.5	387818148313.73694	0.26583447	14.77331 2	28.31069 1	82.65195 1	09.3237006 1
astrid	sol		9493.5	417432138883.25806	0.04328005	1.01097 2	59.41779 1	36.92619	60.9196752 1
neujmina	sol		9493.5	452461377894.88727	0.08617270	8.62074 1	69.17989	39.85649 2	47.7112136 1
skuld	sol		9493.5	333413890676.26794	0.19783545	2.16941 1	16.08704 3	13.69072 2	42.1536911 1
porzia	sol		9493.5	333410973517.78925	0.28570179	3.22987 2	00.65063 3	48.03992 1	33.9734241 1
hollandia	sol		9493.5	401810919787.74506	0.27550026	7.22348 2	29.57752 3	70.32678	32.2335460 1
lugduna	sol		9493.5	327030325136.6929	0.18727601	5.37428 3	58.20401 2	06.65534	62.1030795 1
kepler	sol		9493.5	400666615755.18665	0.46900976	15.31383 3	5.77672 3	32.86997	20.3781874 1
colchis	sol		9493.5	398780276364.382	0.11370578	4.54077	50.59660	3.78911 3	47.1170673 1
mercedes	sol		9493.5	383707064188.81726	0.25465399	8.97714 1	09.43422 1	48.64791 2	70.4783192 1
raissa	sol		9493.5	362481774218.7987	0.09789658	4.31666 2	78.41720 1	77.18280	96.0263189 1
attica	sol		9493.5	470649621652.6769	0.07919553	13.99266 1	83.38522	05.29283 2	96.5878081 1
atami	sol		9493.5	291310153399.44867	0.25565959	13.08639 2	13.28764 1	06.72979 2	18.6627269 1
crimea	sol		9493.5	414751958391.5839	0.10981251	14.11693 3	72.05701 3	10.64811	44.1852579
bohmia	sol		9493.5	339776991227.1312	0.16520735	4.27475 2	05.49579	76.16624 1	69.1335700 1
aetolia	sol		9493.5	477946542032.02374	0.07514724	2.11690 1	38.91246 2	01.64214 1	44.8454461 1
odysseus	sol		9493.5	782106569092.9066	0.09016251	3.14222 2	21.21992	38.64855 2	52.4566644
oda	sol		9493.5	561584706928.9264	0.07991942	9.80381 2	56.11611 1	16.68334 1	81.4006236
robelmonte	sol		9493.5	362469252877.0211	0.11950631	6.20861 2	46.77334 1	67.03728 3	32.1657676 1
biarmia	sol		9493.5	455711840429.45685	0.25478202	17.06071	13.82561	63.42218 2	21.5585547
stavropolis	sol		9493.5	339636728263.5629	0.23244065	3.88327	65.10682	15.68343 2	55.4426725 1
rarahu	sol		9493.5	451971773983.6603	0.10810810	10.83307 1	45.27613 1	77.16252 1	20.0329661 1
volga	sol		9493.5	433287942399.81573	0.09837952	11.76200 1	61.36389 1	15.36233 2	38.9085019 1
achaia	sol		9493.5	327696604133.21655	0.20488200	2.39303 1	06.48454 2	39.44517 2	40.7293993 1
ithaka	sol		9493.5	359940989023.0428	0.27581886	6.56716 1	25.38010 2	22.42049 2	84.8495993 1
pawona	sol		9493.5	363094945971.2239	0.04060531	5.07264 2	31.69751	20.04609 3	56.7029847 1
wallenbergia	sol		9493.5	328451056114.7308	0.16039099	3.33510	80.42864	28.70653 2	66.3610422 1
astronomia	sol		9493.5	507383872476.0352	0.06931702	4.53200 2	82.48193 1	05.93217	33.7294316 1
aenna	sol		9493.5	368456608456.0472	0.16637348	6.59493 1	39.05446	96.22271	34.7402498 1
kira	sol		9493.5	334619245599.859	0.04661215	1.39719 3	91.13226 1	53.80697	30.2968425 1
arabia	sol		9493.5	476470534640.76215	0.14324016	9.54848 3	36.07092 3	12.00854 3	58.1657192 1
luda	sol		9493.5	383475067810.9357	0.11378711	14.82771	44.50952 1	57.13947 3	03.3235501 1
granada	sol		9493.5	355989645504.45667	0.05793491	13.03477 3	47.82768 1	12.52942 3	21.5210809 1
illyria	sol		9493.5	382922019442.7449	0.11866660	14.94216	3.63223 1	5.24658	67.3411356 1
thessalia	sol		9493.5	473888116357.59045	0.08861173	9.39715 3	72.52770	11.21938	14.9275053 1
larissa	sol		9493.5	588100002003.703	0.10576231	1.87435 2	39.67373 3	05.91575	38.5066124
saga	sol		9493.5	481412231023.16943	0.04130665	9.02406 2	27.48755	01.29149 1	25.6328974 1
kobolda	sol		9493.5	345128481056.747	0.19499186	25.16951 3	56.86393 1	41.13121 1	40.1554750 1
imprinetta	sol		9493.5	468046873018.8771	0.21014585	12.79684	03.69839	96.58167 2	36.9140571 1
sakuntala	sol		9493.5	379530785311.84656	0.20921356	18.94595 1	06.61359 1	90.51327 1	88.9119886 1
dubiago	sol		9493.5	510681069385.4115	0.06715676	5.74736	23.33148	72.58107 2	61.4161121
brandia	sol		9493.5	381945923256.0016	0.21836119	12.71669 1	18.51973 1	23.16686 2	25.4404793 1
alwine	sol		9493.5	346845445738.34503	0.15434073	4.05365 1	54.96509 2	77.20147 2	73.7140415 1
siva	sol		9493.5	347948924511.98944	0.30102257	22.16130	0.82800 2	59.46174	64.0665441 1
rusthawelia	sol		9493.5	474834921281.2508	0.19480530	3.08632 2	21.48264 3	92.63256 1	01.1004650 1
