label	parent	mass (kg)	epoch	sma (m)	ecc	inc(°)	lan(°)	aop(°)	ma(°)
s2003_j_4	jupiter	0.0042e15	0	22922300e3	0.327	148.3	175.4	208.8	216.5
s2003_j_9	jupiter	0.00052e15	0	23195100e3	0.268	164.7	46.3	288.4	359.8
s2003_j_10	jupiter	0.0042e15	0	23384400e3	0.257	164.6	155.7	187.6	272.8
s2003_j_12	jupiter	0.00052e15	0	20959300e3	0.235	150.0	54.1	66.1	160.7
s2003_j_16	jupiter	0.0042e15	0	20877500e3	0.238	147.8	5.3	55.6	298.2
s2003_j_23	jupiter	0.0042e15	0	23824000e3	0.306	144.4	30.9	256.6	140.6
s2003_j_24	jupiter	0.0042e15	0	22882400e3	0.263	164.6	208.7	84.1	121.6
s2003_j_19	jupiter	0.0042e15	0	23153100e3	0.264	164.6	21.9	186.8	196.9
s2003_j_18	jupiter	0.0042e15	0	20332800e3	0.102	145.7	166.8	86.2	252.5
s2010_j_1	jupiter	0.0042e15	0	23185600e3	0.256	164.5	284.7	175.6	183.4
s2010_j_2	jupiter	0.00052e15	0	20786900e3	0.244	148.0	357.3	28.8	292.5
s2011_j_1	jupiter	0.0042e15	0	23120800e3	0.269	164.7	253.5	50.4	225.4
s2011_j_2	jupiter	0.00052e15	0	22903400e3	0.358	151.7	24.9	262.9	297.6
s2011_j_3	jupiter	0.014e15	0	11716800e3	0.192	27.6	123.3	134.7	359.4
s2011_j_4	jupiter	0.014e15	0	11104600e3	0.128	28.5	342.4	46.2	314.6
s2011_j_5	jupiter	0.0042e15	0	23527800e3	0.251	164.6	43.7	90.5	66.6
s2016_j_1	jupiter	0.00052e15	0	20796700e3	0.245	145.1	247.7	298.5	215.3
s2016_j_3	jupiter	0.0042e15	0	22719300e3	0.251	164.6	36.8	94.7	59.1
s2016_j_4	jupiter	0.00052e15	0	23113900e3	0.294	147.1	203.2	249.4	217.5
s2017_j_1	jupiter	0.0042e15	0	23739600e3	0.321	145.6	251.8	74.7	250.1
s2017_j_2	jupiter	0.0042e15	0	22949600e3	0.270	164.5	359.4	153.0	278.2
s2017_j_3	jupiter	0.0042e15	0	20936500e3	0.238	147.9	27.9	105.7	235.4
s2017_j_5	jupiter	0.0042e15	0	23202000e3	0.261	164.7	42.3	292.5	69.3
