Bkg	template
41	phoenix a
40	messier 87*
37	sagitarius a*
32	blue-supergiant
31	blue-giant
30	sun
29	red-dwarf
28	brown-dwarf
27	jupiter
26	neptune
25	earth
24	mars
23	callisto
22	pluto
21	ceres
20	vesta
19	phoebe
18	lutetia
17	mathilde
16	phobos
15	deimos
14	halley-comet
13	toutatis
12	didymos
11	bennu
10 	itokawa
9	dimorphos
8	10ky-impactor
7 	1ky-impactor
6 	100y-impactor
5	10y-impactor
4	1y-impactor
