Ceres	(9.38392±0.00005)×1020 kg[7]0.00016 earths0.0128 moons
Pallas	(2.04±0.03)×1020 kg[d][9](2.042±0.027)×1020 kg[d][11]
Juno	(2.7±0.24)×1019 kg[a][5](2.86±0.46)×1019 kg[7][b]
Vesta	(2.590271±0.000058)×1020 kg[12]
Astraea	(2.716 ± 0.326/0.45)×1018 kg[8]
Hebe	(1.24±0.24)×1019 kg[7][b](1.27±0.13)×1019 kg[c][8]
Iris	(13.5±2.3)×1018 kg[9](13.75±1.3)×1018 kg[1]
Flora	(4.0±1.6)×1018 kg[3](6.62±0.84)×1018 kg[b][6]
Metis	(8.0±1.9)×1018 kg[5](11.3±2.2)×1018 kg[b][4]
Hygiea	(8.74±0.69)×1019 kg (2021)[5]: 6 (8.32±0.80)×1019 kg (2020)[6]: 137
Parthenope	(5.5±0.4)×1018 kg[4]6.15×1018 kg[5]
Victoria	(2.7±1.3)×1018 kg[3] (2.45±0.46)×1018 kg[4]
Egeria	(9.2±2.1)×1018 kg[5](15.9±4.4)×1018 kg[b][6]
Irene	(6.94±1.63)×1018 kg[a][3](5.097 ± 0.772/0.941)×1018 kg[4]
Eunomia	(30.5±1.9)×1018 kg[5](31.8±0.3)×1018 kg[b][4]
Psyche	(2.29±0.14)×1019 kg[8]
Thetis	1.23×1018 kg[9][a]
Melpomene	(4.5±0.9)×1018 kg[7] 3.0×1018 kg[4]
Fortuna	(8.8±1.4)×1018 kg[4] 12.7×1018 kg[3]
Massalia	5.2×1018 kg[10]5.67×1018 kg[7]
Lutetia	(1.700±0.017)×1018 kg[4]
Kalliope	(7.7±0.4)×1018 kg[5](8.16±0.26)×1018 kg[3]7.36×1018 kg[6](6.30±0.50)×1018 kg[7]
Thalia	(1.96 ± 0.09) × 1018 kg[3]
Themis	(6.2±2.9)×1018 kg[5](1.13±0.43)×1019 kg[6]2.39×1019 kg[7][b]
Phocaea	(5.99 ± 0.60) × 1017 kg[9]
Proserpina	(7.48 ± 8.95) × 1017 kg[4]
Euterpe	(1.67±1.01)×1018 kg[8]
Bellona	(2.62±0.15)×1018 kg[4]
Amphitrite	(12.7±2.0)×1018 kg[8] (11.8 ± ?)×1018 kg[7]
Urania	(1.3±0.9)×1018 kg[4][a] (1.74±0.49)×1018 kg[5][a]
Euphrosyne	(16.5±2.6)×1018 kg[5](17±3)×1018 kg[4]
Pomona	(8.88 ± 4.17/1.67)×1017 kg[3]
Circe	(3.66 ± 0.03) × 1018 kg[4]
Leukothea	(1.014 ± 0.491/0.321)×1018 kg[3]
Atalante	(9.57 ± 4.32/3.15)×1017 kg[6]
Fides	(1.674 ± 0.663/0.314)×1018 kg[3]
Leda	(7.16 ± 3.38/2.24)×1017 kg[3]
Laetitia	(4.72±1.14)×1018 kg[4]
Harmonia	(2.206 ± 0.612/0.42)×1018 kg[3]
Daphne	(6.1±0.9)×1018 kg[6] ≈ 6.8×1018 kg[b]
Isis	(1.58±0.52)×1018 kg[3]
Ariadne	(3.27 ± 1.35/0.59)×1017 kg[5]
