Ceres	c[16]
Pallas	b[6][16]
Juno	s[3][12]
Vesta	v[6][17]
Astraea	s
Hebe	s
Iris	s
Flora	s[1]
Metis	s[7]
Hygiea	c[1]
Parthenope	s-type asteroid[3]
Victoria	s (tholen)l (smass)[2]a[3]
Egeria	g-type asteroid[3]
Irene	s[2]
Eunomia	s-type asteroid[3]
Psyche	tholen = m[3]smass = x[3]bus-demeo = xk[9]
Thetis	b–v = 0.829[1]u–b = 0.438[1]s (tholen)[1]sl (smass)[1] · s[10]
Melpomene	s[3][7]
Fortuna	g[2]
Massalia	tholen = s[5]smass = s[5]
Lutetia	m (tholen)[2]
Kalliope	m (tholen)[2]x (smass)[2]x (bus-demeo)[8]
Thalia	s[2]
Themis	c/b[4] (b-v=0.68)
Phocaea	tholen = s[1]smass = s[1][5] · s[13]b–v = 0.932[1]u–b = 0.513[1]
Proserpina	s[3]
Euterpe	tholen = s[1]smass = s[1] · s[21][4]b–v = 0.878[1]u–b = 0.502[1]
Bellona	s[2]
Amphitrite	s[6][4]
Urania	s[3][4][5]
Euphrosyne	c[3][7]
Pomona	s[2]
Polyhymnia	s[3] or sq[8]
Circe	c
Leukothea	c
Atalante	c[1]
Fides	s
Leda	c[2]
Laetitia	s[2]
Harmonia	s
Daphne	c[1]
Isis	s
Ariadne	s
Nysa	e[7]
Eugenia	f[11]
Hestia	c
Aglaja	c (tholen)b (smassii)[7]
Doris	c[3]
Pales	c[9]
Virginia	ch[3]
Nemausa	g
Europa	c/cf[2]
Alexandra	tholen = c[1]smass = c[1]
Pandora	tholen = m[3][4]smass = x[3]
Melete	p[2]
Mnemosyne	s
Concordia	c
Elpis	cp/b[3]
Echo	s[1]
Danae	tholen = s[1]smass = s[1][4]b–v = 0.852[1]u–b = 0.402[1]
Erato	ch (smassii)bu (tholen)
Ausonia	tholen = s[1]smass = sa[1]s[5][26]b–v = 0.916[1]u–b = 0.500[1]
Angelina	e
Cybele	tholen = p[1]smass = xc[1] · x[23]b–v = 0.690[1]u–b = 0.271[1]v–r = 0.400±0.007[24]
Maja	tholen = c[1] · c[4]smass = ch[1]b–v = 0.697[1]u–b = 0.360[1]v–r = 0.374±0.010[19]
Asia	s
Leto	s
Hesperia	m
Panopaea	c[8]
Niobe	tholen = s[4]smass = xe[4] · m[11] · a[21] · x[9]b–v = 0.803[4]u–b = 0.439[4]
Feronia	tdg[6]
Klytia	s
Galatea	c[6]
Eurydike	m[5]
Freia	cp
Frigga	m
Diana	c
Eurynome	s
Sappho	s-type asteroid
Terpsichore	c
Alkmene	s[3]
Beatrix	x
Klio	g[3]
Io	fc (tholen)[2]b (smassii)[2]
Semele	c
Sylvia	x[7]
Thisbe	b[2]
Julia	s
Antiope	c[8]
Aegina	c
Undina	m
Minerva	c[2]g?[3]
Aurora	c[3]
Arethusa	c
Aegle	tholen = t[5]smass = t[5][6]bus–demeo = t[19]b–v = 0.775[5]u–b = 0.337[5]
Klotho	m (tholen)x (bus)xc (demeo et al)[6]
Ianthe	c
Dike	c (tholen)xk (bus)[7]
Hekate	s-type asteroid
Helena	s[3]
Miriam	p (tholen classification)[9]  c (smassii classification)[9]
Hera	s[5]
Klymene	c
Artemis	c (tholen)ch (bus)[9]
Dione	g (tholen)cgh (bus)[5]
Camilla	x (smass)[1][18]c (tholen)p (wise)[19]b–v = 0.705[1]u–b = 0.298[1]
Hecuba	s[6]
Felicitas	gc (tholen)[3]
Lydia	m (tholen)x (bus)xk (demeo et al.)[5]
Ate	c[5]
Iphigenia	c
Amalthea	s
Kassandra	t (tholen)[3]
Thyra	s[4]
Sirona	s
Lomia	xc[4]
Peitho	s
Althaea	s
Lachesis	c[4]
Hermione	c[10]
Gerda	s[4]
Brunhild	s[2]
Alkeste	s
Liberatrix	m (tholen)[3]
Velleda	s
Johanna	cx[6] (tholen)ch[6] (bus)
Nemesis	tholen = c[3]smass = c[3]
Antigone	m
Elektra	g (tholen)[5]ch (smass)[5]
Vala	k[3] (bus)
Aethra	m-type (tholen)xe-type (bus)[5]: 142
Cyrene	s[6]
Sophrosyne	c (tholen)[4]
Hertha	m[8]
Austria	m[4]
Meliboea	c (tholen)[8]
Tolosa	s
Juewa	cp (tholen)[4]
Siwa	c-type asteroid[3]
Lumen	c
Polana	f/b[1]b−v=0.621±0.022[1]u−b=0.236±0.035[1]
Adria	c
Vibilia	c (tholen), ch (smass)c[15]b–v = 0.727[1]u–b = 0.402[1]
Adeona	c (tholen)[8]
Lucina	c[6] (tholen)
Protogeneia	c
Gallia	tholen = gu[4]smass = s[4][10]b–v = 0.858[4]u–b = 0.423[4]
Medusa	s
Nuwa	c[5]
Abundantia	s[5]
Atala	d[7]
Hilda	p[4]
Bertha	c[7]
Scylla	tholen = xfc[4][18]b–v = 0.688[4]u–b = 0.234[4]
Xanthippe	tholen = c[5]smass = ch[5][8]b–v = 0.713[5]u–b = 0.315[5]
Koronis	s[6]
Aemilia	c[4] (tholen)
Una	c[6]
Athor	m[10]
Laurentia	c
Erigone	c[6] (tholen)
Eva	c
Rhodope	tholen = gc:[1]smass = xe[1]c[16] · p[9] · x[5]b–v = 0.725[1]u–b = 0.425[1]
Urda	s
Sibylla	c
Zelia	o (bus & binzel)[2]
Maria	s[2]
Ophelia	c
Baucis	s
Ino	tholen = c[4]smass = xk[4]b–v = 0.705[4]u–b = 0.305[4]
Phaedra	s
Andromache	c
Iduna	g
Irma	c
