Antiope		0.687 d (16.50 h)[6] (synchronous)					
Aegina		6.03 hours					
Undina		15.941 h (0.6642 d)					
Minerva		5.982 h (0.2493 d)[2]					
Aurora		7.22 h (0.301 d)[3]					
Arethusa		8.705 h (0.3627 d)					
Aegle		10 h (poor)[13]10.470 h (poor)[14]13.82±0.01 h[15]13.82±0.01 h[16]13.868±0.001 h[17][c]26.53±0.01 h (poor)[18]					
Klotho		35.15 h (1.465 d)[2]10.927 h[4]					
Ianthe		16.479 h (0.6866 d)[3][5]					
Dike		18.127 h (0.7553 d)[4][5]					
Hekate		27.066 h (1.1278 d)[3]0.5555 d[6]					
Helena		23.080 h (0.9617 d)[2]					
Miriam		23.613 h (0.9839 d)[3][8]					
Hera		23.740 h (0.9892 d)[3]0.9892 d[4]					
Klymene		8.984 h (0.3743 d)[3]					
Artemis		37.15506 h (1.548128 d)[5]37.15 h[8]					
Dione		16.26 h (0.678 d)[2]16.26 ± 0.02 h[4]					
Camilla		4.844 h[16][17][a]					
Hecuba		14.256 h (0.5940 d)[2]0.60 d or 1.20 d[5]					
Felicitas		13.191 h (0.5496 d)[2][4]					
Lydia		10.927 h (0.4553 d)[2]10.9258 hours[4]					
Ate		22.072 h (0.9197 d)[2]22.072 ± 0.001 h[4]					
Iphigenia		31.466 h (1.3111 d)[2][4]					
Amalthea		9.950 h (0.4146 d)					
Kassandra		10.7431 h (0.44763 d)[2]10.758 h[6]					
Thyra		7.241 h (0.3017 d)					
Sirona		12.028 h (0.5012 d)[1][2]					
Lomia		9.127 h (0.3803 d)					
Peitho		7.8055 h (0.32523 d)[2]7.823 h[3]					
Althaea		11.484 h (0.4785 d)[2][3]					
Lachesis		46.551 h (1.9396 d)[2][3]					
Hermione	0.2313 d (5.551 h)[8]		73°			1.5 ± 2°	+10 ± 2°[7]
Gerda		10.685 h (0.4452 d)[2]10.687 ± 0.001 h[3]					
Brunhild		10.04 h (0.418 d)[2]					
Alkeste		9.921 h (0.4134 d)					
Liberatrix		3.968 h (0.1653 d)[2][4]					
Velleda		5.364±0.003 h[4]					
Johanna		12.7988 h (0.53328 d)[2][4]					
Nemesis		77.81 h (3.242 d)[9]38.9325 h (1.62219 d)[3]					
Antigone		4.9572 h (0.20655 d)[2][4]					
Elektra		5.224663±0.000001 h[9][1]	156°[1]			71°[9]	–88°[9]
Vala		5.1812 h (0.21588 d)[1]					
Aethra		5.1684 h (0.21535 d)[3]					
Cyrene		12.708 h (0.5295 d)[3]12.707 h (0.5295 d)[5]					
Sophrosyne		17.190 h (0.7163 d)[6]					
Hertha		8.40061 h[7]					
Austria		11.4969 h (0.47904 d)[2]					
Meliboea		25.676 h[7]					
Tolosa		10.101 h (0.4209 d)[3]10.103 h[5]					
Juewa		20.991 h (0.8746 d)					
Siwa		34.445 h (1.4352 d)[1]34.407 h[2]					
Lumen		19.87 h (0.828 d)[1]0.820 d (19.67 h)[7]					
Polana		9.764 h (0.4068 d)					
Adria		22.005 h (0.9169 d)[3][5]					
Vibilia		13.810 h[11]13.819±0.002 h[12]13.824±0.001 h[13]13.82516±0.00005 h[14]13.88±0.02 h[13]					
Adeona		15.071 h (0.6280 d)[4]					
Lucina		18.557 h (0.7732 d)					
Protogeneia		7.8528 h (0.32720 d)[3][5]					
Gallia		20.6592±0.0007 h[11]20.66±0.01 h[11]20.664 h[12]20.665266 h[a]20.666±0.002 h[13][b]					
Medusa		26.023 h (1.0843 d)[4]26.038 h[5]					
Nuwa		8.14 hours[3]8.1347 h (0.33895 d)[1][4]					
Abundantia		9.864 h (0.4110 d)					
Atala	5.28-6.25 hours	6.246 h (0.2603 d)					
Hilda		5.9587 h (0.24828 d)[1]					
Bertha		25.224 h (1.0510 d)[3][6]					
Scylla		7.955±0.005 h[12]7.958±0.002 h[13]7.95880±0.00005 h[14]7.9597±0.0001 h[15]7.960±0.001 h[16]8.8±0.6 h[17]					
Xanthippe		22 h[16]22.104±0.006 h[16]22.37±0.01 h[17]22.5 h[18]					
Dejanira		15.825 h (0.6594 d)					
Koronis	14.218 h (0.592 d)	14.218 h (0.5924 d)					
Aemilia		24.476 h (1.0198 d)[3]~1.05 d[6]					
Una		11.033 h (0.4597 d)[2]0.234 d (5.61 h)[3][4]					
Athor		7.280 h (0.3033 d)[4]7.281 ± 0.001 hours[8]7.288 ± 0.007 hours[9]					
Laurentia		11.8686 h (0.49453 d)[2][4]					
Erigone		16.136 h (0.6723 d)[5]					
Eva		13.66 h (0.569 d)[2]13.672 h[4]					
Loreley		7.226 h (0.3011 d)[2]7.22667 h[4]					
Rhodope		4.714793 h[13]4.712 h[a]4.715 h[5]4.7152±0.0002 h[14]7.87±0.03 h(poor)[15]					
Urda		13.07 h (0.545 d)					
Sibylla	23.82 hours[6]	47.009 h (1.9587 d)					
Zelia		14.537 h (0.6057 d)					
Maria		13.120 h (0.5467 d)					
Ophelia		6.66535 h (0.277723 d)					
Baucis		27.417 h (1.1424 d)[2][3]					
Ino		5.93 h[14]6.1±0.2 h[15]6.106±0.001 h[15]6.1088±0.0007 h[15]6.11 h[16]6.113±0.002 h[17]6.11651 h[18]6.15 h[19][4]6.163 h[20]					
Phaedra		5.744 h (0.2393 d)					
Andromache		8.324 h (0.3468 d)					
Iduna		11.2877 h (0.47032 d)[1]11.289 hours[2]					
Irma		13.856 h (0.5773 d)[1][2]					
Belisana		12.31±0.07 h[10]12.32±0.05 h[10]12.321±0.003 h[11]12.323±0.002 h[12]24.6510±0.0003 h[13]					
Klytaemnestra		11.13±0.02 h[13]11.173 h[14]11.17342±0.00005 h[15]					
Garumna		23.866 h (0.9944 d)					
Eucharis		52.23 h (2.176 d)[2][3]					
Elsa		80.088±0.002 h[11]					
Istria		11.6±0.5 h[11]11.77 h[12]					
Dejopeja		6.455 h (0.2690 d)					
Eunike		21.797 h (0.9082 d)[2]21.812 ± 0.001 hours[4]					
Celuta		19.842 h (0.8268 d)[1][2]					
Lamberta		10.67 h (0.445 d)[1]					
Menippe		11.98 h (0.499 d)					
Phthia		22.346 h (0.9311 d)[3][6]					
Ismene		6.52 h (0.272 d)3					
Kolga		17.625 hours[4]17.604 h (0.7335 d)[1]					
Nausikaa		13.625 h (0.5677 d)					
Ambrosia		6.580 hours[3]6.581 h (0.2742 d)[2]					
Prokne		15.679 h (0.6533 d)[3][5]					
Eurykleia		16.52178±0.00001 h[3]					
Philomela		8.3340 h (0.34725 d)[2]8.332827 hours[4]					
Arete		6.6084 h (0.27535 d)[3]6.54 h[6]					
Ampella		10.379 h (0.4325 d)					
Byblis		5.2201 h (0.21750 d)					
Dynamene		37.394 h (1.5581 d)[2][4]					
Penelope		3.7474 h (0.15614 d)[3]					
Chryseis		23.670 h (0.9863 d)[2]23.670 ± 0.001 h[3]					
Pompeja		24.052 h (1.0022 d)[4][2]					
Kallisto		19.489 h (0.8120 d)[4]					
Martha		14.911 h (0.6213 d)					
Hersilia		11.122 h (0.4634 d)					
Hedda		30.098 h (1.2541 d)[1]19.489 h[2]					
Lacrimosa		14.085734 h (0.5869056 d)[2]					
Dido		5.737 h (0.24 d)[4][6]					
Isabella		6.672 h (0.2780 d)					
Isolda		18.365 h (0.7652 d)					
Medea		10.283 h (0.4285 d)[2]10.12 h[4]					
Lilaea		8.045 h (0.3352 d)[2][3]					
Aschera		6.835 h (0.2848 d)					
Oenone		27.937 h (1.1640 d)					
Kleopatra		5.385280±0.000001 h[7]					
Eudora		25.272 h (1.0530 d)[2]25.253 ± 0.003 hr[4]					
Bianca		6.337 h (0.2640 d)[2]6.33717 h[4]					
Thusnelda		59.74 h (2.489 d)					
Stephania		18.19 h[a]18.198 h[13]18.2±0.2 h[10]18.21 h[b]					
Eos		10.443 h (0.4351 d)					
Lucia		7.80 h (0.325 d)					
Rosa		20.283 h (0.8451 d)					
Oceana		9.401 h (0.3917 d)[4][3]					
Henrietta		7.3556 h (0.30648 d)					
Weringia		11.147 h (0.4645 d)					
Philosophia		52.98 h (2.208 d)					
Agathe		6.484 h (0.2702 d)					
Adelinda		6.60 h (0.275 d)					
Athamantis		24.0055 h (1.00023 d)[1]23.99 h[4]					
Vindobona		14.245 h (0.5935 d)					
Russia		21.905 h (0.9127 d)					
Asterope		19.70 h (0.821 d)					
Barbara		26.4744 h (1.10310 d)					
Carolina		17.610 h (0.7338 d)[3]					
Honoria		12.336 h (0.5140 d)					
Coelestina		29.215 h (1.2173 d)					
Hypatia		8.8749 h (0.36979 d)					
Adrastea		18.4707 h (0.76961 d)[1]					
Vanadis		10.64 h (0.443 d)					
Germania		15.51 h (0.646 d)[2]					
Kriemhild		4.5478 h (0.18949 d)					
Ida		4.63 hours (0.193 d)[10]			−87.12°[11]		
Sita		129.51 h (5.396 d)					
Vera		14.38 h (0.599 d)					
Asporina		16.222 h (0.6759 d)					
Eukrate		12.093 h (0.5039 d)					
Lameia		11.912 h (0.4963 d)					
Ilse		84.94 h (3.539 d)					
Bettina		5.0545 h (0.21060 d)[2]5.055 h[4]					
Sophia		20.216±0.008 h[10]					(235.0°, −52.0°) (λ1/β1)[11]
(47.0°, 84.0°) (λ2/β2)[11]
Clementina		10.864 h (0.4527 d)[1][2]					
Mathilde		417.7 h (17.40 d)[2]17.406 ± 0.010 d[6](17 d 9 h 45 min)					
Augusta		5.8949 h (0.24562 d)					
Oppavia		19.499 h (0.8125 d)					
Walpurga		16.664 h (0.6943 d)[1]16.64 h[2]					
Silesia		15.7095 h (0.65456 d)					
Tyche		10.041 h (0.4184 d)[1][6]					
Aletheia		8.143 h					
Huberta		8.29 h (0.345 d)					
Prymno		8.002 h (0.3334 d)					
Valda		17.386 h (0.7244 d)[1][2]					
Dresda		16.809 h (0.7004 d)					
Libussa		9.2276 h (0.38448 d)[1][2]					
Anna		11.681 h (0.4867 d)					
Aline		13.018 h (0.5424 d)[1]13.02 h[3]					
Tirza		7.648 h (0.3187 d)					
Adorea		7.80 h (0.325 d)					
Justitia		33.12962 ± 0.00001 h (1.38040083 ± 4.2×10−7 d)[8]	171°±15° (to ecliptic)[b]			73°±11°[8][c]	−81°±15°[8][d]
Anahita		15.06 h (0.628 d)					
Penthesilea		18.787 h (0.7828 d)[2][3]					
Antonia		3.8548 h (0.16062 d)[2][3]					
Atropos		23.924 h (0.9968 d)[2]23.852 h[3]					
Philagoria		17.938 h (0.7474 d)					
Sapientia		14.933 h (0.6222 d)[1]					
Adelheid		6.29 h[15]6.315±0.002 h[16]6.315±0.005 h[17]6.31920±0.00005 h[12]6.31920 h[8]6.319204±0.000001 h[18]6.32 h[19]6.328 h[20]6.328 h[21]12.48±0.05 h[22]					
Elvira		29.69 h (1.237 d)					
Paulina		6.497 h (0.2707 d)					
Thule		23.896 h (0.9957 d)[2]					
Philia		70.26 h (2.928 d)					
Lucretia		0.181 d (4.348 h)[4]					
Clorinde		6.42 h (0.268 d)					
Emma		6.896 h (0.2873 d)[2]					
Amalia		8.545 h (0.3560 d)					
Regina		9.542 h (0.3976 d)					
Iclea		15.365 h (0.6402 d)[3]					
Nephthys		7.605 h (0.3169 d)					
Glauke		1,170 h (49 d)[2]					
Nenetta		6.902 h (0.2876 d)					
Bruna		13.807 h (0.5753 d)[2][3]					
Alice		4.313 h (0.1797 d)[1]0.180 d (4.32 h)[5]					
Ludovica		0.372 d (8.93 h) [4]					
Brasilia		8.17 h (0.340 d)					
Felicia		10.4227 h (0.43428 d)					
Theresia		10.730 h (0.4471 d)					
Phaetusa		4.5385 h (0.18910 d)					
Caecilia		4.163 h (0.1735 d)					
Baptistina		16.23±0.02 hours[3]					
Thora		274 h (11.4 d)[1]					
Geraldina		6.8423 h (0.28510 d)					
Bavaria		12.253 h (0.5105 d)					
Clarissa		14.381 h (0.5992 d)					
Josephina		12.497 h (0.5207 d)					
Olga		18.36 h (0.765 d)					
Gordonia		12.893 h (0.5372 d)[1]12.89 ± 0.01 hours[2]					
Unitas		8.736 h (0.3640 d)[1]8.73875 h[3]					
Nike		11.857 ± 0.001 h (0.494042 ± 4.2×10−5 d)[2]7.902 ± 0.005 h[3]					
Polyxo		12.031 ± 0.009 h (0.50129 ± 0.00038 d)[4]					
Fraternitas		22.398 h (0.9333 d)					
Margarita		12.070 h (0.5029 d)					
Claudia		7.532 h (0.3138 d)					
Pierretta		10.282 h (0.4284 d)					
Chaldaea		8.392 h (0.3497 d)					
Rosalia		20.43 h (0.851 d)					
Constantia		5.345 h (0.2227 d)					
Goberta		8.605 h (0.3585 d)[1]8.605 ± 0.01 hours[2]					
Roxane		8.169 h (0.3404 d)					
Magdalena		42.49 h (1.770 d)					
Leona		430±2 h[6]					
Katharina		6.893 h (0.2872 d)					
Florentina		2.871 h (0.1196 d)					
Phaeo		17.5845±0.0001 h[9]					
Brucia		9.46 h[10]9.4602±0.0001 h[11]9.463±0.005 h[12]10 h[4]					
Bamberga		1.226 d[6]29.43 h (1.226 d)[1]					
Heidelberga		6.737 h (0.2807 d)					
Tamara		14.445 h (0.6019 d)					
Columbia		5.93±0.05 h[8]5.93183±0.00005 h[9]5.9320±0.0006 h[8]					
Gudrun		10.992 h (0.4580 d)					
Svea		22.778 h (0.9491 d)[2]22.6 ± 0.01 hours[3]					
Adalberta		3.5553±0.0001 h[5]					
Etheridgea		25.315 h (1.0548 d)					
Siri		8.0074 h (0.33364 d)					
Badenia		9.862±0.001 h[10][11]					
Chicago		7.361 h (0.3067 d)					
Roberta		12.054 h (0.5023 d)					
Lacadiera		13.70 h (0.571 d)					
Devosa		4.653 h (0.1939 d)					
Budrosa		4.6084 h (0.19202 d)					
Dorothea		5.974 h (0.2489 d)					
Eduarda		8.0062 h (0.33359 d)					
California		317.88 h (13.25 d)					
Endymion		6.319 h (0.2633 d)					
Ostara		109.87 h (4.578 d)					
Desiderata		10.747 h (0.4478 d)					
Tercidina		12.371 h (0.5155 d)[1]					
