Ceres	0.090±0.0033 (v-band)[13]
Pallas	0.155[11]0.159[15]
Juno	0.202[5]0.238[3][10]
Vesta	0.423[15]
Astraea	0.227[9]
Hebe	0.268[7][5]
Iris	0.279[9]0.2766±0.030[5]
Flora	0.224 (calculated)[3]0.226±0.041[1]
Metis	0.18[5]0.118[2]
Hygiea	0.063 (2021)[5]: 6 0.072 (2020)[6]: 139
Parthenope	0.187 (calculated)[4]0.191±0.021[3]
Victoria	0.167 (calculated)[3]0.163 ± 0.027[2]
Egeria	0.087[5]0.049 ± 0.028[3]0.085 ± 0.007[7]
Irene	0.159[2]
Eunomia	0.187[5]0.25±4 geometric (0.84±0.02 bv, 0.45±0.02 ub)[3]
Thetis	0.193±0.028[6]
Melpomene	0.221 (calculated)[7]0.223[9]0.181 ± 0.033[3]
Fortuna	0.056[4] 0.037[2]
Massalia	0.210[9]
Lutetia	0.19 ± 0.01 (geometrical)[3]0.073 ± 0.002 (bond)[3]
Kalliope	0.198[5]0.17[3]0.166 ± 0.005[2]
Thalia	0.2536 (geometric)[4]
Themis	0.060 (calculated)[5]0.067[4]
Phocaea	0.189±0.005[11]0.2310±0.024[5][12]0.350±0.046[8]
Proserpina	0.1966[3][6]
Euterpe	0.20±0.03[19]0.2011±0.0582[11]0.215±0.033[20]0.234±0.008[9]0.298[7]
Bellona	0.1763[2][6]
Amphitrite	0.194[8]0.157±0.035[13]0.1793±0.012[12]0.195[11]0.216±0.043[9][4]
Urania	0.214 (calculated)[4]0.192 ± 0.027[3]
Euphrosyne	0.05[5]0.0543[6]
Pomona	0.2564[2]
Laetitia	0.287 (geometric)[2][6]
Harmonia	0.242[5]
Daphne	0.052 (calculated)[6]0.059±0.007[1]
Isis	0.171 (geometric)[5]
Ariadne	0.274[7]
Nysa	0.44 ± 0.10 (vis.)[5]0.19 ± 0.06 (rad.)[5]
Eugenia	0.065 (calculated)[7]0.040±0.002[5]
Hestia	0.052[2]
Aglaja	0.080 [6]
Doris	0.066[5]0.062[7]
Virginia	0.036[3][5]
Nemausa	0.09 (calculated)[3]0.093[6]
Europa	0.057±0.007 geometric (0.679±0.017 bv, 0.338±0.028 ub)[2]
Kalypso	0.040[4][7]
Alexandra	0.056[1][6]
Pandora	0.204[3]
Melete	0.065[2][4]
Mnemosyne	0.215[4]
Concordia	0.058[4]
Elpis	0.044[3][5]
Echo	0.254[1][3]
Danae	0.181±0.034[12]0.203±0.014[11]0.2065±0.0472[10]0.216±0.006[9]0.2224±0.025[7]
Erato	0.061[6]
Ausonia	0.195 (calculated)[8]0.125±0.016[24][1]0.1586±0.008[13]0.1591±0.0277[12]0.232±0.008[9]0.25±0.18[25]
Angelina	0.28[7]0.483 (neowise)[2]
Cybele	0.044[18]0.050±0.005[19]0.06±0.03[20]0.06±0.04[21]0.0706±0.003[22][23]
Maja	0.03±0.01[11]0.037±0.052[10]0.05±0.02[6]0.0618±0.010[9]0.062±0.002[8]0.0759±0.0615[7]
Asia	0.255 [3]
Leto	0.2283±0.021[4]0.228[6]
Hesperia	0.140[4]
Panopaea	0.0675 ± 0.003[5]
Niobe	0.2446[10]0.2475±0.0346[11]0.3052±0.013[8]0.326±0.008[7]0.369±0.033[6]
Feronia	0.063[5]
Klytia	0.225[4]
Galatea	0.043[5]
Eurydike	0.149[4]
Freia	0.036[5]
Frigga	0.177 ± 0.025[3]0.144[5]
Diana	0.071 [5]
Eurynome	0.262[3]
Sappho	0.206±0.014[4]  0.185 [7]
Terpsichore	0.051 [3]
Alkmene	0.208[3]
Beatrix	0.092 [3]
Klio	0.053[3][6]
Io	0.0666 ± 0.003[2]
Semele	0.047 [5]
Sylvia	0.0435 [6]
Thisbe	0.057[4]0.067[7]
Julia	0.216 (calculated)[4]0.1764±0.007[2]0.176[6]
Antiope	0.060[7]
Aegina	0.043[3]
Undina	0.2509±0.014[3]0.251[5]
Minerva	0.056±0.008[2]
Aurora	0.0395±0.001[3]0.0395[6]
Arethusa	0.0698±0.012[4]0.070[6]
Aegle	0.048±0.007[12]0.0523±0.002[11]0.056±0.002[9]0.058 (assumed)[6]
Klotho	0.2285±0.027[2]0.229[5]
Ianthe	0.0471±0.002[3]0.047[6]
Dike	0.0627±0.005[4]0.058[6]
Hekate	0.205±0.01[3]0.192[4]
Helena	0.1898±0.008[2]
Miriam	0.051±0.006[3]0.0507±0.002[6]
Hera	0.1833±0.025
Klymene	0.052±0.006[3]
Artemis	0.0465±0.002
Dione	0.0893±0.003
Camilla	0.043±0.012[15]0.045±0.019[14]0.0525±0.009[13]0.059±0.012[12]0.065±0.003[11]
Hecuba	0.2431±0.037
Felicitas	0.0699±0.004[2]0.07 ± 0.02[3]
Lydia	0.1808±0.009[2]0.181[3]
Ate	0.0605±0.004
Iphigenia	0.0393±0.005
Amalthea	0.2649±0.017
Kassandra	0.089±0.014[2]0.0868 ± 0.0252[3]
Thyra	0.2747±0.010[2]0.275[3]
Sirona	0.2560±0.047
Lomia	0.0528±0.005[2]0.053[4]
Peitho	0.2240±0.017
Althaea	0.2306±0.010
Lachesis	0.0463±0.002[2]
Hermione	0.0482 ± 0.002[9]
Gerda	0.1883±0.009
Brunhild	0.2134±0.026[2]
Alkeste	0.1728±0.008
Liberatrix	0.2253±0.026[2]0.1305 ± 0.0269[3]
Velleda	0.1723[2]
Johanna	0.0557±0.0039[5]
Nemesis	0.067 (calculated)[6]0.067±0.005[3]
Antigone	0.164
Elektra	0.067 (calculated)[1]0.086±0.015 (neowise)[5][7]0.0755±0.0110 (iras)[11][7]
Vala	0.1051±0.010
Aethra	0.1990±0.015[3]
Cyrene	0.2563±0.053[3]0.2563[6]
Sophrosyne	0.0364±0.001[3]0.0436 ± 0.0122[4]
Hertha	0.1436[3]
Austria	0.1459±0.007[2]0.1459[4]
Meliboea	0.0503±0.002[3]0.0492 ± 0.0128[8]
Tolosa	0.2699±0.027[3][5]
Juewa	0.052±0.015[1]0.0444±0.0164[4]
Siwa	0.0676±0.004
Lumen	0.0540±0.002[1]0.054[4]
Polana	0.0451±0.003[1]0.045 ± 0.003[2]
Adria	0.0491±0.002
Vibilia	0.05±0.01[5]0.05±0.06[6]0.0597±0.002 (iras:15)[9]0.060±0.002[8]
Adeona	0.048 (calculated)[6]0.061±0.010[4]0.0467 ± 0.0116[8]
Lucina	0.0531±0.002[5]0.0496 ± 0.0107[6]
Protogeneia	0.0492±0.004[3]
Gallia	0.1640±0.013[9]0.2013 (derived)[10]0.21±0.12[8]0.240±0.008[6]
Medusa	0.2334±0.022
Nuwa	0.0395±0.002
Abundantia	0.1728±0.007[3]0.173[4]
Atala	0.054
Hilda	0.0618±0.002[1]
Bertha	0.0480±0.002[3]0.0483 ± 0.0107[7]
Scylla	0.0237±0.0022[11]0.027±0.003[8]0.03±0.01[10]0.0309±0.007[9]0.035±0.002[7]0.05±0.03[6]
Xanthippe	0.030±0.004[15]0.03±0.03[14]0.04±0.03[13]0.0422±0.002[12]0.047±0.002[10]0.0504±0.0120[9]0.0687[7]
Dejanira	0.10
Koronis	0.2766±0.024
Aemilia	0.0639±0.003[3]0.0627 ± 0.0142[4]
Una	0.0625±0.003[2]0.063[5]
Athor	0.1980±0.033[4][6]
Laurentia	0.051±0.006[2]
Erigone	0.0546±0.010[3]0.0428 ± 0.0092 [6]
Eva	0.0447±0.002
Loreley	0.0642±0.004
Rhodope	0.046±0.004[12]0.05±0.03[11]0.0657±0.0145[9]0.0747[10]0.076±0.002[8]0.10±0.05[6]
Urda	0.2230±0.023
Sibylla	0.0535±0.003
Zelia	0.178 ± 0.035[2]0.2347±0.041[1]
Maria	0.1579±0.007
Ophelia	0.0615±0.004
Baucis	0.1382±0.006
Ino	0.061 (calculated)[7]0.059[12]0.06±0.02[10]0.0642±0.003[11]0.07±0.05[8]0.096±0.018[9][4]
Phaedra	0.1495±0.021
Andromache	0.0819±0.013[citation needed]
Iduna	0.0834±0.003
Irma	0.0527±0.002
Belisana	0.2026 (derived)[6]0.214±0.016[8]0.22±0.09[9]0.2438±0.013[7]
Klytaemnestra	0.119±0.018[12]0.1609±0.006[11]0.1833±0.0578[9]0.198±0.011[8]0.245±0.007[7]
Eucharis	0.1135±0.0054
Elsa	0.2083±0.045[6]0.209±0.007[9]0.21±0.08[10]0.2106±0.0603[7]
Istria	0.1890±0.034[10]0.201±0.012[9]0.227±0.038[8]0.2582±0.0384[7]
Dejopeja	0.1897±0.012
Eunike	0.0638±0.002
Celuta	0.1929±0.013
Lamberta	0.052 (calculated)[2]0.044±0.007[1]0.0647 ± 0.0135[4]
Menippe	0.2431±0.013
Phthia	0.2310±0.027[3]0.1566 ± 0.0349[7]
Ismene	0.066
Kolga	0.0408±0.003
Nausikaa	0.2330±0.009
Ambrosia	0.10
Prokne	0.0528±0.003
Eurykleia	0.0599±0.002
Philomela	0.2299±0.023
Arete	0.4417±0.083[3]0.442[7]
Ampella	0.268±0.035[1]
Byblis	0.11±0.01
Dynamene	0.0533±0.002
Penelope	0.1604±0.018[2]0.0881±0.0187[5]
Chryseis	0.2562±0.015
Pompeja	0.036±0.006[2]
Kallisto	0.2082±0.010
Martha	0.0553±0.002
Hersilia	0.055
Hedda	0.0552±0.003
Lacrimosa	0.2696±0.023
Dido	0.028±0.004
Isabella	0.0436±0.002
Isolda	0.0602±0.004[3]0.0598 ± 0.0218[5]
Medea	0.0465±0.002
Lilaea	0.0897±0.006
Aschera	0.5220±0.048
Oenone	0.2044±0.011
Kleopatra	0.152 (calculated)[8]0.1164±0.004[11][4]0.170[13]0.149±0.005[10]0.1111±0.0336[14]0.1068[15]0.200±0.028[9]
Eudora	0.0484±0.004
Bianca	0.1746±0.008[2]0.1979 ± 0.0407[3]
Thusnelda	0.2009±0.030[1]0.2214 ± 0.0471[2]
Stephania	0.03±0.01[12]0.05±0.03[8]0.0571±0.0068[11]0.0607 (derived)[4]0.069±0.002[9]0.069±0.016[7]0.0726±0.007[6]0.075±0.015[10]
Eos	0.1400±0.010
Lucia	0.1318±0.021
Rosa	0.0309±0.003
Oceana	0.1694±0.012
Henrietta	0.0396±0.002
Weringia	0.2035±0.020
Philosophia	0.0768±0.004
Agathe	0.2082±0.043
Adelinda	0.0453±0.004
Athamantis	0.146 (calculated)[2]0.164±0.029[1]
Vindobona	0.0545±0.003
Russia	0.0494±0.002
Asterope	0.0870±0.015
Barbara	0.2276±0.011
Carolina	0.1580±0.009
Honoria	0.1271±0.012
Coelestina	0.2108±0.016
Hypatia	0.0428±0.002
Adrastea	0.0777±0.006[1]
Vanadis	0.0411±0.002
Germania	0.0575±0.002[2]
Kriemhild	0.2440±0.029
Ida	0.2383[5]
Sita	0.1941±0.033[1]0.194[2]
Vera	0.2082±0.018
Asporina	0.1744±0.027
Eukrate	0.064±0.012[1]
Lameia	0.0615±0.007
Ilse	0.0428±0.003
Bettina	0.112±0.019[2]
Sophia	0.207±0.007[9]
0.2188±0.091[8]
0.234±0.042[7]
Clementina	0.0843±0.012
Mathilde	0.0436±0.004[2]
Augusta	0.1695±0.036
Oppavia	0.0374±0.002
Walpurga	0.0530±0.005
Silesia	0.0545±0.003
Tyche	0.1676±0.006[1]0.168[4]
Aletheia	0.0436
Huberta	0.0509±0.004
Prymno	0.1141±0.006
Dresda	0.2263±0.043
Libussa	0.2971±0.034
Anna	0.1045±0.033
Aline	0.0448±0.003
Tirza	0.0402±0.005
Adorea	0.041±0.007[1]
Justitia	0.072±0.007 (occultation)[7]0.058±0.006 (thermophysical)[8]
Anahita	0.2166±0.018
Penthesilea	0.0633±0.008
Antonia	0.1443±0.017
Atropos	0.1624±0.015
Philagoria	0.2282±0.047
Sapientia	0.049 ± 0.009[1]
Adelheid	0.03±0.01[14]0.036±0.001[13]0.04±0.04[11]0.0434 (derived)[4]0.0450±0.006[10]0.051±0.006[9]0.0631±0.0107[7]0.073±0.012[6]
Elvira	0.2770±0.020[1]0.277[2]
Paulina	0.2505±0.024
Thule	0.0412±0.003[2]
Philia	0.0444±0.004
Lucretia	0.1987±0.035[1]0.199[2]
Clorinde	0.0502±0.003
Emma	0.0262±0.002[2] (dark)
Amalia	0.0602±0.006
Regina	0.0547±0.006
Iclea	0.0508±0.003
Nephthys	0.1851±0.008
Glauke	0.1973±0.029[2]
Nenetta	0.2438±0.042
Bruna	0.314
Alice	0.2075±0.033[1]0.208[2]
Ludovica	0.2652±0.014[1]0.265[2]
Brasilia	0.0615±0.004
Felicia	0.0910±0.008
Theresia	0.1930±0.029
Caecilia	0.1796±0.018
Baptistina	0.131
Thora	0.1673±0.033[1]
Geraldina	0.0397±0.002
Bavaria	0.0546±0.007
Clarissa	0.0524±0.010
Josephina	0.0594±0.002
Olga	0.0488±0.003
Gordonia	0.2269±0.014
Unitas	0.2112±0.023[1]0.211[4]
Nike	0.0524±0.007
Polyxo	0.043±0.002[5]
Fraternitas	0.0595±0.010
Margarita	0.1250±0.014
Claudia	0.3381±0.057
Pierretta	0.1967±0.013
Chaldaea	0.0524±0.002
Rosalia	0.0787±0.006
Goberta	0.0925±0.008
Roxane	0.4928±0.083
Leona	0.085±0.005[1][7]
Katharina	0.3207-0.0677
Florentina	0.2296±0.028
Phaeo	0.089±0.014[7]
Brucia	0.165±0.007[9]0.1765±0.018[8]0.2174±0.0421[7]0.265±0.053[6]0.295±0.046[5]
Bamberga	0.060 (calculated)[2]0.0628±0.004[4]0.050±0.007[1]
Heidelberga	0.1068±0.005
Tamara	0.0368±0.001
Columbia	0.214±0.339[7]0.2360±0.061[5]0.250±0.015[6]0.2565 (derived)[4]
Gudrun	0.0425±0.004
Svea	0.0399±0.001
Adalberta	0.20 (assumed)[3]0.256±0.045[4]
Etheridgea	0.0447±0.003
Siri	0.1719±0.017
Badenia	0.0475[8]
0.057[7]
0.061[6]
Chicago	0.041±0.013
Roberta	0.0580±0.003[1]0.058[2]
Lacadiera	0.0459±0.003
Devosa	0.135±0.017[1]
Budrosa	0.1766±0.062
Dorothea	0.2431±0.021
Eduarda	0.2118±0.018
California	0.4950±0.064[1]0.495[2]
Endymion	0.0393±0.004
Ostara	0.1151±0.017
Desiderata	0.067±0.007[2]
Tercidina	0.0654±0.007[1]
Hermentaria	0.2189±0.009
Pariana	0.1845±0.036
May	0.0448±0.002
Dembowska	0.384 (bright)[4]0.3840±0.025[1]
Ornamenta	0.0566±0.005
Yrsa	0.2884±0.034
Gisela	0.4261±0.153[2]
Eleonora	0.172[3]0.201±0.052[2]
Gabriella	0.2353±0.023
Liguria	0.0528±0.002
Ninina	0.0510±0.002
Apollonia	0.0506±0.003
Georgia	0.2621±0.059
Carlova	0.0535±0.004
Bononia	0.0453±0.005
Isara	0.1625±0.0334[12]0.244±0.006[11]0.2566±0.020[10]0.300±0.037[9]
Corduba	0.0335±0.002
Vincentina	0.0800±0.006
Amicitia	0.2535±0.050
Haidea	0.0389±0.003
Aeria	0.127±0.018[8][1]0.1378±0.0234[7]0.163±0.004[6]0.1919±0.008[4][5]
Bohemia	0.1924±0.008
Palma	0.0655±0.002[2]
Melusina	0.0429±0.004
Burgundia	0.3014±0.018
Ursula	0.04±0.03[8]0.042±0.027[5]0.049±0.001[7]0.0494 (derived)[3]
Geometria	0.321[2]
Campania	0.060[3]
Holmia	0.339[2]
Huenna	0.046[1]
Fiducia	0.0563±0.005
Myrrha	0.0609±0.003
Dodona	0.1610±0.017[2]0.161[3]
Janina	0.0926±0.008[2]
Burdigala	0.1805±0.025
Ilmatar	0.242±0.042[1]
Siegena	0.0692±0.002
Aquitania	0.1900±0.011[6][4]
Charybdis	0.0506±0.007
Industria	0.1983±0.012[7]
0.201±0.006[8]
0.225±0.046[6]
Alma	0.2190±0.029
Ingeborg	0.20 (assumed)[5]0.282±0.056[7]0.290±0.110[6]0.34±0.16[6]0.495±0.013[8]
Wilhelmina	0.0589±0.003
