Ceres	(966.2 × 962.0 × 891.8)± 0.2 km[6]		
Pallas	(568 km × 532 km × 448 km) ± 12 km[9]550 km × 516 km × 476 km[10]	511±4 km[11]
513±6 km[9]512±6 km[10]	0.21[b]
Juno	(288 × 250 × 225) ± 5 km[5](320 × 267 × 200) ± 6 km[6]	254±2 km[5]246.596±10.594 km[3]	
Vesta	572.6 km × 557.2 km × 446.4 km[10]	525.4±0.2 km[10]	0.2204
Astraea	169 km × 125 km × 83 km[7]	125 km[7]	
Hebe	205 km × 185 km × 170 km[5][6]	195±3 km[7]	0.25[a]
Iris	268 km × 234 km × 180 km± (5 km × 4 km × 6 km)[1]225 km × 190 km × 190 km[7]	199±10 km[8][9]214±5 km[1]199.83±10 km (iras)[5]	0.42[a]
Flora	(154 km × 148 km × 127 km) ± (7 km × 6 km × 4 km)[3]136 km × 136 km × 113 km[4]145 km × 145 km × 120 km[5]	146±2 km[3] 128 km[4]147.491±1.025 km[1]	0.18[a]
Metis	(222 × 182 × 130) ± 12 km[4]	173±2 km[5]190±? km (dunham)[2]	0.39[a]
Hygiea	450 km × 430 km × 424 km(± 10 km × 10 km × 20 km)[5]: 18	433±8 km (2021)[5]: 6 434±14 km (2020)[6]: 136	0.06±0.05[a]
Parthenope	156 × 152 × 138 ± 6 km[4]	149±2 km[4]142.887±1.008 km[3]	0.12[a]
Victoria	140 km × 116 km × 96 km (± 4 km × 3 km × 3 km)[3]	116±2 km[3]115.087 ± 1.199 km[2]	0.31[a]
Egeria	214.8 km × 192 km[4]238 km × 199 km × 182 km (± 12 km × 11 km × 10 km)[5]	202±3 km[5]207.6 ± 8.3 km (iras)[3]	0.24[a]
Irene	(167 × 153 × 139) ± 16 km[3]	152 km (dunham)[2]155 ± 6 km[4]	
Eunomia	(357 × 255 × 212) ± 15 km[4]	270±3 km[5]268 km[4]231.689 ± 2.234 km[3]	0.47[a]
Psyche	(278±5 × 232±6 × 164±4) km[4]277 km × 238 km × 168 km[4][a]279 × 232 × 189 km (±10%)[5](278+4−8 × 238+4−6 × 171+1−5) km[6]	223±3 km[7]222±4 km[4]222+1−4 km[6]	0.41[b]
Thetis	84.899±2.027[6]90±3.7km (iras)[7]93.335±2.627[8]		
Melpomene	170 × 155 × 129 km[4](150 × 125 km)[5](150 × 170 km)[6]	141±2 km[7]139.594±2.452 km[3]	0.19[a]
Fortuna	(225 × 205 × 195) ± 12 km[3](242 × 203 × 192) ± 10 km[4]	211±2 km[4]225 km[5][6]	0.21[a]
Massalia	160×145×132 km[7]160×145×130 km[8]	145.50±9.3 km[9]	
Lutetia	(121±1) × (101±1) × (75±13) km[3]		
Kalliope	235 km × 144 km × 124 km[3]190 km × 125 km[4]	150±5 km[5]166.2±2.8 km[3]167.536±3.053 km[2]181.0±4.6 km (iras)[6][7]	0.41[a]
Thalia	107.53 ± 2.2 km (iras)[2]106.81 ± 3.23 km[3]		
Themis	232 × 220 × 176 ± 14 km[5]	208±3 km[5]198±20 km[6]	0.24[a]
Phocaea	61.05±2.46 km[8]61.054±2.463 km[8]		
Proserpina	94.8 ± 1.7 km (iras)[3]89.63 ± 3.55 km[4]		
Euterpe	124 × 75 km (occultation)[1]96 km[1]96.9 km[7]105.80±7.23 km[8]109.79±1.54 km[9]118 km[10]118.000±22.30 km[11]		
Bellona	97 ± 11 km[3]120.9 ± 3.4 km (iras)[2]108.10 ± 11.49 km[4]		
Amphitrite	233 km × 212 km × 193 km[7]222 km × 209 km × 183 km (± 6 km × 6 km × 5 km)	204±2 km[8]189.6±1.1 km[9]196±22 km[10]206.86 km[11]212.22±6.8 km[12]227.1±4.0 km[13]	0.18[a]
Urania	112 km × 84 km × 76 km (± 5 km × 5 km × 4 km)[4]	88±2 km[4]92.787±2.040 km (neowise)[3]94.48±5.37 km[5][a]	0.32 ± 0.05[b]
Euphrosyne	(294±6) × (280±10) × (248±6) km[4]	268±4 km[5]267.1±2.6 km (iras)[3]268±6 km[4]	0.14[a]
Pomona	80.76±1.6 km[2]		
Polyhymnia	54.39±11.84 km (infrared)[4]53.98±0.91 km[5]64±6 km (occultation)[6]		
Circe	113.02 ± 4.90 km[4]		
Leukothea		103.05 ± 1.2 km[3]	
Atalante		132.842 ± 29.191 km[1]110.14 ± 4.38 km[5]	
Fides	108.35 ± 1.9 km[2]		
Leda	92.255 ± 0.490 km[2]		
Laetitia	219 km × 142 km[3]149.5 km[2]153.80±4.14 km[4]		
Harmonia	111.251 ± 0.391 km[2]		
Daphne	213×160 km[4]239x183x153 km[5]	187±13 km[6]205.495±1.881[1]189 km[7]	0.35[a]
Isis	102.73±2.73 km[3]		
Ariadne	95 km × 60 km × 50 km[2][3][4]		
Nysa	113±10 × 67±10 × 65±12 km[5]		
Eugenia	232 × 193 × 161 km[4]305 × 220 × 145 km[5][6]		
Hestia	124.1 km[2]		
Aglaja	141.90 ± 8.72 km[4]		
Doris	278 km × 142 km[4]	215±3 km[5]221.8±7.5 km (iras)[3]	0.28[a]
Pales	149.80±3.8 km mean diameter[4]		
Virginia	99.8 km[3]		
Nemausa	170×136 km[2]	150±3 km[3]	0.23[a]
Europa	(379±16)×(330±8)×(249±10) km[3]	319±4 km[4]315±7 km[3]	0.33[a]
Kalypso	115.4 km[4]		
Alexandra	160 × 135 km (± 1 km)	154.137 km[1]	
Pandora	84.8±2.5 km[3]		
Melete	113.2 km[2]		
Mnemosyne	113.01±4.46 km[2]		
Concordia	93.4 km		
Elpis	164.8±6.0 km[3]		
Echo	60.2 km[1]		
Danae	82.04±4.3 km[7]82.52±2.73 km[8]83.56±1.02 km[9]85.125±1.962 km[10]85.937±2.151 km[11]91.00±3.50 km[12]		
Erato		95.4 km	
Ausonia		93±3 km[8]
87.5±1.1 km[9]90±18 km[10]94.4±7.2 km[11]103.0±2.8 km[12]103.14±2.4 km[13]	0.55[a]
Angelina	48 × 53 km[3]52 ± 10 km[4]60 × 53 × 45 km[5]		
Cybele	297 km × 291 km × 213 km[6]	263±3 km[6]	
Maja		62.87±15.72 km[6]62.901±19.42 km[7]71.79±0.92 km[8]71.82±5.3 km[9]74.30±21.31 km[10]82.28±2.11 km[11]	
Asia	60.99 ± 2.41 km[2]		
Leto	122.57±5.3 km[4]124.96±6.42 km[5]		
Hesperia	138 km (iras)[4]110 ± 15 km[5]		
Panopaea	122.17±2.3 km (mean)[5]		
Niobe		75.87±3.28 km[6]80.86±0.80 km[7]83.42±1.7 km[8]92.75 km (taken)[9]92.753 km[10]92.842±0.644 km[11]	
Feronia	83.95±4.02 km[2]		
Klytia	44.4 km[2]		
Galatea	120.67 ± 7.15 km[3]		
Eurydike	62.377 ± 1.603 km[2]		
Freia	183.7±4 km[2]		
Frigga	60.0 × 74.0 km[2]	61.390 ± 0.177 km[3]	
Diana	123.63±4.57 km[3]		
Eurynome	66.5 km		
Sappho		68.563±1.033 km	
Terpsichore	121.77 ± 2.34 km[2]		
Alkmene	61±1.5 km (iras)[3]		
Beatrix	81.4 km		
Klio	79.16 ± 1.6 km[3]		
Io	180 × 160 × 160 km[3][4]		
Semele	120.6 km		
Sylvia	(363 × 249 × 191) ±5 km (mpcd) or 
(374 × 248 × 194) ±5 km (adam)	271±5 km (mpcd) or 274±5 km (adam)	
Thisbe	(255×232×193)±12 km[3]	218±3 km[4]225 km[3]232 km (dunham)[2]	0.19[a]
Julia	(89±2)×(80±1)×(62±3) km[3]	140±3 km[3][4]151±3 km[2]148±8 km[5]	0.30[a]
Antiope	93.0×87.0×83.6 km[3]87.8 ± 1.0 km[3]		
Aegina	109.8 km		
Undina		126.42±3.4 km[3]124.44 ± 3.25 km[4]	
Minerva		154.155±1.298 km (iras)[2]156 km[3]	
Aurora	225 × 173 km[4]	204.89±3.6 km (iras)[3]	
Arethusa	136.04±10.1 km[4]136.04 km†147 ± 32 km[5]		
Aegle	178.7 km × 148.3 km[b]	156 km[8]162.85 km (calculated)[6]164.77±2.54 km[9]167.92±5.49 km[10]170.02±3.4 km[11]177.77±1.54 km[12]	
Klotho	82.83±4.5 km[2]84.79 ± 3.13 km[3]		
Ianthe	104.45±1.8 km[3]106.16 ± 3.76 km[4]		
Dike	69.04±2.7 km		
Hekate	88.734±1.961 km[3]89 km[4]		
Helena	65.84±1.3 km[2]		
Miriam	96 × 62 km[5]	82.595±0.400 km[3]83.00±1.9 km[6]	
Hera	91.20±5.6 km		
Klymene	163 km × 103 km (± 3 km × 5 km)[4]	136.553±1.554 km[3]133 km[4]	
Artemis	119.08±2.8 km[6]		
Dione	146.59±2.8 km[2]147.17 ± 3.34[3] km		
Camilla	285 km × 205 km × 170 km[8]344 km × 246 km × 205 km[9]	254±12 km[10]200.37±3.51 km[11]210.370±8.326 km[12]222.62±17.1 km[13]241.6±35.0 km[14]243.3±12.4 km[15]	
Hecuba	64.97±4.4 km[2]65 km[3]		
Felicitas	89.44±2.5 km[2]88.971 km[3]		
Lydia	86.09±2.0 km[2]86.090 km[3]		
Ate	126.34 km[2]142.85 ± 5.94 km[3]		
Iphigenia	72.18±4.4 km[2]71.07 ± 0.52 km[3]		
Amalthea		46.14±1.4 km	
Kassandra		94.178±0.954 km[2]99.798 km[3]100±14 km[4]	
Thyra	79.83±1.4 km[2]79.83 km[3]		
Sirona	71.70±5.8 km		
Lomia	148.71±6.6 km[2]146.78 ± 3.96 km[3]		
Peitho	41.73±1.5 km		
Althaea	57.30±1.1 km		
Lachesis	155.132±1.133 km (iras)[2]		
Hermione	268 × 186 × 183 km[5](254 ± 4) × (125 ± 9) km[6]		
Gerda	81.69±1.9 km		
Brunhild	48 km[2]		
Alkeste	88.65±1.65 km76.36±1.7 km		
Liberatrix	43.58±2.3 km[2]61.058 km[3]		
Velleda		44.79±1.33 km[3]	
Johanna	122[2]116.14±3.93 km[3]		
Nemesis		163±5 km[6]162.5±1.3 km[7]184.2±5.2 km[8]	0.17[a]
Antigone	113[2]119.44 ± 3.91 km[3]		
Elektra	262 km × 205 km × 164 km ± 3%[9]	199±2 km[1]	0.43[a]
Vala	40.44±1.8 km[1]		
Aethra		42.87±1.6 km[3]44.47±0.74 km[4]	
Cyrene	66.57±6.0 km		
Sophrosyne		108[3]112.188 km[4]	
Hertha		76.12 ± 3.29 km[6]79.24±2.0 km[3]	
Austria		40.14±1.0 km[2]40.14 km[4]	
Meliboea		145.42±3.3 km[3]145.92±3.58 km[6]	
Tolosa	51.86 ± 3.07 km[4]45.50±2.1 km[3][5]		
Juewa	148.3±4.3 km × 142.3±15.6 km	151.116±1.596 km[1]161.43±7.38 km[2]	
Siwa	109.79±3.0 km		
Lumen	131.03±2.9 km[1]130 km[4]131.35 ± 5.21 km[5]		
Polana	55.29±1.6 km[1]55.3 ± 1.6[2]		
Adria		89.93±1.9 km	
Vibilia	131.36±33.30 km[5]134.59±50.58 km[6]141.34±2.76 km[7]142.20±1.76 km[8]142.38±2.6 km (iras:15)[9]		
Adeona		144±3 km[6]127.783±0.355 km[4]149.5±5.5 km[7]	0.08[a]
Lucina	160.31 km[5]131.893 km[6]		
Gallia		80.87±1.04 km[6]83.45±5.07 km[7]85.91±23.39 km[8]97.75±3.7 km[9]98.09 km (derived)[10]	
Medusa	19.75±0.9 km		
Nuwa	151.13±4.5 km[1]146.54 ± 9.15 km[2]		
Abundantia	45.37±0.9 km		
Atala	65 ± 8 km[4]71–122 km[5]		
Hilda	170.63±3.3 km[1]		
Bertha	184.93±3.6 km[3]186.85±1.83 km[5]		
Scylla		32.90±12.33 km[6]39.21±0.97 km[7]39.605±0.198 km[8]39.88±3.8 km[9]41.38±11.37 km[10]45.482±0.215 km[11]	
Xanthippe		110.409 km[7][8]110.718±2.187 km[9]115.49±1.74 km[10]116.34±4.14 km[11]120.99±2.5 km[12]121.68±41.10 km[13]122.02±31.66 km[14]143.346±0.903 km[15]143.35±0.90 km[15]	
Dejanira	19.1 km		
Koronis	35.37±1.4 km		
Aemilia	124.97±2.4 km[3]127.3 km[4]		
Una	81.24±2.1 km		
Athor	44.19±3.3 km[4]mean diameter[6]47.0±0.2 kmcircular fit[7]		
Laurentia	97.021±0.493 km[2]		
Erigone	72.63±5.7 km[3]72.70 ± 1.95 km[4]		
Eva	104.87±1.9 km[2]101.77 ± 3.61 km[3]		
Loreley	180.083±2.064 km[2]164.92 ± 8.14 km[3]		
Rhodope	39.04±9.79 km[6]52.393±0.196 km[7]53.26±0.62 km[8]54.551±1.535 km[9]54.56 km (taken)[5]54.564 km[10]62.34±21.46 km[11]65.29±0.80 km[12]		
Urda	39.94±1.9 km		
Sibylla	148.39±4.0 km[3]149.06 ± 4.29 km[5]		
Maria	44.30±1.0 km		
Ophelia		130.808±1.483 km[3]	
Ino		145±3 km[7]119±27 km[8]125.8±1.5 km[9]148±42 km[10]154.1±3.5 km[11]160.6 km[12]	0.24[a]
Iduna	121.04±2.2 km		
Belisana		35.50 km (derived)[6]35.81±0.9 km[7]38.26±1.12 km[8]42.09±11.05 km[9]	
Klytaemnestra		64.25±0.79 km[7]69.946±0.518 km[8]72.786±0.799 km[9]75.02±3.21 km[10]77.69±1.4 km[11]90.17±1.53 km[12]	
Eucharis	106.66±2.2 km		
Elsa		43.68±4.1 km[6]44.000±4.279 km[7]44±0.1 km[8]45.15±0.62 km[9]45.72±7.82 km[10]	
Istria		30.779±0.278 km[7]32.927±0.168 km[8]34.55±0.84 km[9]35.43±2.8 km[10]	
Eunike	157.51±2.6 km[2]160.61 ± 5.00 km[3]		
Celuta	49.99±1.6 km		
Lamberta		141±2 km[2]147.294±1.389 km[1]131.3±1.1 km[3]	0.14[a]
Phthia	37.66±2.0 km[3]40.91 ± 1.36 km[5]		
Kolga	(134.3±12.8) × (78.2±1.7) km[2]	94.536±0.433 km[1]	
Nausikaa	103.26±1.9 km[3]90.18 ± 2.80 km[4]		
Ambrosia		26 km	
Prokne	168.42±4.1 km[3]170.33±6.92 km[4]		
Philomela	136.39±6.3 km[2]145.29 ± 7.71 km[3]		
Arete	29.18±2.4 km		
Ampella		54.323±0.343 km[1]	
Dynamene	128.36±2.1 km[2]130.71 ± 3.01 km[3]		
Penelope	68.39±3.5 km[2]87.72 km[5]		
Chryseis	86.15±2.4 km		
Pompeja		124.592±1.079 km[2]	
Kallisto	48.57±1.2 km[2]50.36 ± 1.69 km[3]		
Martha	80.58±1.4 km		
Hersilia	113 km		
Hedda	58.70±1.3 km		
Lacrimosa	41.33±1.7 km		
Dido	179±1 km[4]140.35±10.12 km[5]		
Isabella	86.65±2.3 km[2]73.70±8.47 km[3]		
Isolda	143.19±5.1 km[3]149.81 ± 6.10 km[4]		
Medea		136.12±2.5 km[2]144.13 ± 7.23 km[3]	
Lilaea	83.01±2.6 km		
Aschera	23.16±1.0 km		
Oenone	46±1 km[3]48±1 km[3]		
Kleopatra	(276 × 94 × 78) ± 15% km[7]	118±2 km[8]122±30 km[7]103±4 km[9]121.6±1.6 km[10]135±2 km[11]	0.82[a]
Eudora	66.24±2.3 km[2]68.62 ± 1.41 km[3]		
Bianca	60.62±1.4 km[2]56.735 km[3]		
Thusnelda	40.56±2.7 km[1]38.279 km[2]		
Stephania	31.04 km (derived)[4]31.12±1.5 km[6]31.738±0.219 km[7]31.96±9.77 km[8]32.29±0.33 km[9]33±2 km[10]35.097±0.260 km[11]38.46±5.77 km[12]		
Eos	103.87±3.6 km[3]103.52 ± 5.60 km[4]		
Lucia	54.66±3.9 km		
Rosa		82.7±8.4 km[2]	
Oceana	61.82±2.1 km		
Henrietta	120.49±2.5 km		
Weringia	33.83±1.5 km		
Philosophia	87.31±2.4 km		
Agathe	9.30±0.8 km		
Adelinda	93.20±4.3 km		
