Ariadne	Epoch 26 November 2005 (JD 2453700.5)	329.646 million km (2.204 au)	0.168	3.464°	264.937°	15.948°	101.582°
Nysa	Epoch 2008-05-14 (JD 2454600.5)	2.42380478 au (362.6 gm)	0.148158617 ± 5.7499e-08	3.7028885 ± 6.2628e-06°	131.59519 ± 1.0657e-04°	342.52066 ± 1.0904e-04°	118.743236 ± 2.4281e-05°
Eugenia	Epoch 26 November 2005 (JD 2453701.5)	406.897 million km (2.720 au)	0.082	6.610°	147.939°	85.137°	45.254°
Hestia	Epoch December 31, 2006 (JD 2454100.5)	2.526 au (377.811 million km)	0.172	2.342°	181.168°	176.882°	45.401°
Aglaja	Epoch December 31, 2006 (JD 2454100.5)	430.481 million km (2.878 au)	0.135	4.985°	3.244°	314.589°	225.007°
Doris	Epoch 31 December 2006 (JD 2454100.5)	465.278 million km (3.110 au)	0.075	6.554°	183.754°	257.583°	336.191°
Pales	Epoch 23 March 2018 (JD 2458200.5)	3.10093 au	0.22507	3.17°	285.646°	111.146°	169.53°
Virginia	Epoch December 31, 2006 (JD 2454100.5)	396.603 million km (2.651 au)	0.285	2.834°	173.773°	199.961°	210.994°
Nemausa	Epoch December 31, 2006 (JD 2454100.5)	2.365 au (353.871 million km)	0.066	9.972°	176.168°	2.820°	316.668°
Europa	Epoch July 01, 2021(JD 2459396.5, heliocentric)	3.095 au (460 million km)	0.111	7.48°	129°	343°	21°
Kalypso	Epoch December 31, 2006 (JD 2454100.5)	391.903 million km (2.620 au)	0.204	5.153°	143.813°	312.330°	98.113°
Alexandra	Epoch December 31, 2006 (JD 2454100.5)	405.763 million km (2.712 au)	0.196	11.804°	313.446°	345.594°	103.809°
Pandora	Epoch May 5, 2025	2.758 au (412.6 gm)	0.145	7.176°	10.287°	4.996°	114.416°
Melete	Epoch 31 December 2006 (JD 2454100.5)	388.200 million km (2.595 au)	0.238	8.072°	193.478°	103.648°	267.781°
Mnemosyne	Epoch December 31, 2006 (JD 2454100.5)	471.082 gm (3.149 au)	0.118	15.200°	199.337°	212.848°	68.001°
Concordia	Epoch December 31, 2006 (JD 2454100.5)	2.701 au (403.991 million km)	0.043	5.057°	161.290°	34.465°	15.122°
